Season,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_close_minus_governed_gap,avg_close_to_governed_ratio
2024,2,1,0.5,-0.009803921568627416,0.41103741914353553,0.02675516453036425,0.0616312915591493,0.03487612702878505,0.44343561003346355
2025,1,1,1.0,1.0,0.5,0.0205387540494919,0.0432874164382168,0.0227486623887249,0.4744740097576954
