prob_bin,bets,wins,hit_rate,avg_prob
"(-0.001, 0.45]",1,0,0.0,0.323177090987632
"(0.45, 0.5]",3,1,0.3333333333333333,0.46740526897039675
"(0.5, 0.55]",14,5,0.35714285714285715,0.5299375874431418
"(0.55, 0.6]",29,15,0.5172413793103449,0.581457593372574
"(0.6, 0.65]",25,8,0.32,0.621575876960031
"(0.65, 0.7]",24,11,0.4583333333333333,0.6796733325289082
"(0.7, 0.8]",87,46,0.5287356321839081,0.7492338724427344
"(0.8, 1.0]",23,9,0.391304347826087,0.8313036594264791
