bet_band,Season,Week,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_clv,beat_close_rate,avg_confidence_score
Balanced,2020,3,1,0,0.0,-1.0,0.4651162790697674,0.0439746005530222,0.0439746005530222,0.0439746005530222,1.0,0.0439746005530222
Balanced,2020,6,1,1,1.0,1.12,0.4716981132075472,0.0550042433175621,0.0550042433175621,0.0550042433175621,1.0,0.055004243317562096
Balanced,2020,9,1,0,0.0,-1.0,0.5454545454545454,0.0179508119304905,0.0179508119304905,0.0179508119304905,1.0,0.0179508119304905
Balanced,2020,10,2,1,0.5,-0.11538461538461536,0.520703933747412,0.037926768052540805,0.037926768052540805,0.037926768052540805,1.0,0.0379267680525408
Balanced,2020,11,1,1,1.0,0.8032128514056225,0.5545657015590201,0.0291612909768419,0.0291612909768419,0.0291612909768419,1.0,0.0291612909768419
Balanced,2020,13,1,1,1.0,0.9090909090909092,0.5238095238095238,0.0301384526839791,0.0301384526839791,0.0301384526839791,1.0,0.0301384526839791
Balanced,2020,14,1,1,1.0,1.05,0.4878048780487805,0.0286157819954581,0.0286157819954581,0.0286157819954581,1.0,0.028615781995458098
Balanced,2020,17,1,1,1.0,0.847457627118644,0.5412844036697247,0.0377032818789895,0.0377032818789895,0.0377032818789895,1.0,0.0377032818789895
Balanced,2021,3,1,1,1.0,0.9090909090909092,0.5238095238095238,0.041713586306266,0.041713586306266,0.041713586306266,1.0,0.041713586306266
Balanced,2021,4,2,1,0.5,0.050000000000000044,0.4761904761904761,0.057722558722443695,0.057722558722443695,0.057722558722443695,1.0,0.057722558722443695
Balanced,2021,5,2,2,1.0,0.8712121212121213,0.5346320346320346,0.0271318664320142,0.0271318664320142,0.0271318664320142,1.0,0.0271318664320142
Balanced,2021,16,1,0,0.0,-1.0,0.4651162790697674,0.0361516213691442,0.0361516213691442,0.0361516213691442,1.0,0.036151621369144196
Balanced,2021,20,1,1,1.0,0.7518796992481203,0.5708154506437768,0.0490639889562359,0.0490639889562359,0.0490639889562359,1.0,0.0490639889562359
Balanced,2022,9,1,1,1.0,1.075,0.4819277108433735,0.0460498976797292,0.0460498976797292,0.0460498976797292,1.0,0.0460498976797292
Balanced,2022,11,1,0,0.0,-1.0,0.5,0.0504231436243972,0.0504231436243972,0.0504231436243972,1.0,0.05042314362439719
Balanced,2022,13,1,0,0.0,-1.0,0.5238095238095238,0.0494476855552828,0.0494476855552828,0.0494476855552828,1.0,0.0494476855552828
Balanced,2022,14,1,0,0.0,-1.0,0.4761904761904761,0.0479935008509871,0.0479935008509871,0.0479935008509871,1.0,0.047993500850987095
