game_id,Season,Week,game_date,away_team,home_team,side,closing_odds,model_prob,implied_prob,edge,actual_win,profit,books_used
2025_9_Cardinals_Cowboys,2025,9,2025-11-03,Cardinals,Cowboys,home,-170.0,0.6241878414824845,0.6296296296296297,-0.005441788147145132,0,-1.0,11
2025_9_Broncos_Texans,2025,9,2025-11-02,Broncos,Texans,home,-135.0,0.5688962164828832,0.574468085106383,-0.005571868623499787,0,-1.0,11
2024_10_Steelers_Commanders,2024,10,2024-11-10,Steelers,Commanders,home,-130.5,0.5603737942081981,0.5661605206073753,-0.005786726399177211,0,-1.0,10
2025_10_Patriots_Buccaneers,2025,10,2025-11-09,Patriots,Buccaneers,home,-154.0,0.5998585970260658,0.6062992125984252,-0.0064406155723594205,0,-1.0,11
2024_15_Cowboys_Panthers,2024,15,2024-12-15,Cowboys,Panthers,away,123.5,0.4403957547595961,0.44742729306487694,-0.00703153830528086,1,1.235,10
2024_13_49ers_Bills,2024,13,2024-12-01,49ers,Bills,home,-280.0,0.729656878984033,0.7368421052631579,-0.007185226279124879,1,0.35714285714285715,10
2024_2_Saints_Cowboys,2024,2,2024-09-15,Saints,Cowboys,away,235.0,0.2909675622054094,0.29850746268656714,-0.007539900481157713,1,2.35,10
2024_5_Cowboys_Steelers,2024,5,2024-10-06,Cowboys,Steelers,away,123.0,0.440827880930818,0.4484304932735426,-0.007602612342724635,1,1.23,10
2024_10_Vikings_Jaguars,2024,10,2024-11-10,Vikings,Jaguars,home,265.0,0.2658258639542931,0.273972602739726,-0.008146738785432928,0,-1.0,10
2025_13_Packers_Lions,2025,13,2025-11-27,Packers,Lions,home,-162.0,0.6096957354834289,0.6183206106870229,-0.008624875203594007,0,-1.0,11
2025_7_Patriots_Titans,2025,7,2025-10-19,Patriots,Titans,away,-300.0,0.7411897877762376,0.75,-0.008810212223762437,1,0.3333333333333333,11
2024_4_Vikings_Packers,2024,4,2024-09-29,Vikings,Packers,away,121.5,0.4425984449021424,0.45146726862302483,-0.008868823720882435,1,1.215,10
2025_5_Raiders_Colts,2025,5,2025-10-05,Raiders,Colts,away,289.0,0.2473180751645078,0.2570694087403599,-0.00975133357585209,0,-1.0,11
2025_5_Buccaneers_Seahawks,2025,5,2025-10-05,Buccaneers,Seahawks,away,162.0,0.3718771312401724,0.3816793893129771,-0.009802258072804715,1,1.62,11
2024_5_Raiders_Broncos,2024,5,2024-10-06,Raiders,Broncos,away,131.0,0.4229731753902302,0.4329004329004329,-0.00992725751020268,0,-1.0,10
2024_3_Chargers_Steelers,2024,3,2024-09-22,Chargers,Steelers,home,-144.0,0.5801561909932957,0.5901639344262295,-0.010007743432933758,1,0.6944444444444444,10
2025_3_Jets_Buccaneers,2025,3,2025-09-21,Jets,Buccaneers,home,-328.0,0.7562601025529226,0.7663551401869159,-0.01009503763399322,1,0.3048780487804878,11
2025_3_Bengals_Vikings,2025,3,2025-09-21,Bengals,Vikings,away,136.0,0.4135849665382841,0.423728813559322,-0.010143847021037933,0,-1.0,11
2025_12_Buccaneers_Rams,2025,12,2025-11-23,Buccaneers,Rams,away,285.0,0.2495339363444509,0.2597402597402597,-0.01020632339580882,0,-1.0,11
2025_15_Vikings_Cowboys,2025,15,2025-12-14,Vikings,Cowboys,home,-270.0,0.7190766672650123,0.7297297297297297,-0.010653062464717422,0,-1.0,11
2024_10_Dolphins_Rams,2024,10,2024-11-11,Dolphins,Rams,home,-145.0,0.5808144461711553,0.5918367346938775,-0.011022288522722246,0,-1.0,10
2025_2_Buccaneers_Texans,2025,2,2025-09-15,Buccaneers,Texans,home,-145.0,0.5806084205563548,0.5918367346938775,-0.011228314137522788,0,-1.0,11
2024_1_Rams_Lions,2024,1,2024-09-08,Rams,Lions,home,-219.0,0.67449302730224,0.6865203761755486,-0.012027348873308585,1,0.45662100456621,10
2024_7_Texans_Packers,2024,7,2024-10-20,Texans,Packers,away,143.5,0.3982883362296699,0.4106776180698152,-0.012389281840145261,0,-1.0,10
2025_3_Colts_Titans,2025,3,2025-09-21,Colts,Titans,home,195.0,0.3265300267358644,0.3389830508474576,-0.012453024111593214,0,-1.0,11
2024_10_Eagles_Cowboys,2024,10,2024-11-10,Eagles,Cowboys,away,-355.0,0.7670985636430906,0.7802197802197802,-0.013121216576689632,1,0.28169014084507044,10
2025_7_Packers_Cardinals,2025,7,2025-10-19,Packers,Cardinals,home,290.0,0.2429092479060842,0.2564102564102564,-0.013501008504172185,0,-1.0,11
2025_15_Ravens_Bengals,2025,15,2025-12-14,Ravens,Bengals,away,-165.0,0.6090229197578361,0.6226415094339622,-0.01361858967612617,0,-1.0,11
2024_16_Cardinals_Panthers,2024,16,2024-12-22,Cardinals,Panthers,home,199.0,0.32072668002194,0.33444816053511706,-0.013721480513177065,1,1.99,10
2024_3_Panthers_Raiders,2024,3,2024-09-22,Panthers,Raiders,home,-247.5,0.6979393650449726,0.7122302158273381,-0.014290850782365583,0,-1.0,10
2024_9_Saints_Panthers,2024,9,2024-11-03,Saints,Panthers,away,-350.0,0.7634680387579637,0.7777777777777778,-0.014309739019814138,0,-1.0,10
2025_7_Dolphins_Browns,2025,7,2025-10-19,Dolphins,Browns,home,-144.0,0.5757506349485623,0.5901639344262295,-0.01441329947766723,1,0.6944444444444444,11
2025_13_Jaguars_Titans,2025,13,2025-11-30,Jaguars,Titans,home,220.0,0.297943716796003,0.3125,-0.01455628320399699,0,-1.0,11
2025_13_Saints_Dolphins,2025,13,2025-11-30,Saints,Dolphins,home,-258.0,0.7056519532953802,0.7206703910614525,-0.015018437766072257,0,-1.0,11
2024_10_Broncos_Chiefs,2024,10,2024-11-10,Broncos,Chiefs,home,-375.0,0.7739507475500793,0.7894736842105263,-0.015522936660447018,1,0.26666666666666666,10
2025_11_Packers_Giants,2025,11,2025-11-16,Packers,Giants,away,-380.0,0.7758849068080191,0.7916666666666666,-0.015781759858647493,1,0.2631578947368421,11
2024_18_Chargers_Raiders,2024,18,2025-01-05,Chargers,Raiders,away,-325.0,0.7485326912396317,0.7647058823529411,-0.016173191113309393,1,0.3076923076923077,10
2024_6_Commanders_Ravens,2024,6,2024-10-13,Commanders,Ravens,away,250.0,0.2694662501306512,0.2857142857142857,-0.016248035583634524,0,-1.0,10
2024_9_Raiders_Bengals,2024,9,2024-11-03,Raiders,Bengals,home,-370.0,0.7703754989324422,0.7872340425531915,-0.016858543620749344,1,0.2702702702702703,10
2024_13_Rams_Saints,2024,13,2024-12-01,Rams,Saints,home,126.5,0.4244241998601152,0.44150110375275936,-0.017076903892644157,0,-1.0,10
2024_8_Cardinals_Dolphins,2024,8,2024-10-27,Cardinals,Dolphins,away,173.0,0.3487490426946311,0.3663003663003663,-0.017551323605735192,1,1.73,10
2024_1_Cowboys_Browns,2024,1,2024-09-08,Cowboys,Browns,away,110.0,0.4586011421429189,0.47619047619047616,-0.017589334047557248,1,1.1,10
2024_17_Cowboys_Eagles,2024,17,2024-12-29,Cowboys,Eagles,away,285.0,0.2419452125106835,0.2597402597402597,-0.017795047229576227,0,-1.0,10
2024_4_Bills_Ravens,2024,4,2024-09-29,Bills,Ravens,home,-143.5,0.5712879147422838,0.5893223819301848,-0.018034467187901027,1,0.6968641114982579,10
2024_9_Jaguars_Eagles,2024,9,2024-11-03,Jaguars,Eagles,away,277.5,0.246765337147266,0.26490066225165565,-0.018135325104389644,0,-1.0,10
2025_11_Seahawks_Rams,2025,11,2025-11-16,Seahawks,Rams,home,-175.0,0.6178826824090909,0.6363636363636364,-0.01848095395454541,1,0.5714285714285714,11
