game_id,Season,Week,game_date,away_team,home_team,pred_home_margin,pred_total,p_home_win,p_away_win
2017_1_Chiefs_Patriots,2017,1,2017-09-07,Chiefs,Patriots,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Cardinals_Lions,2017,1,2017-09-10,Cardinals,Lions,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Colts_Rams,2017,1,2017-09-10,Colts,Rams,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Eagles_Redskins,2017,1,2017-09-10,Eagles,Redskins,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Falcons_Bears,2017,1,2017-09-10,Falcons,Bears,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Giants_Cowboys,2017,1,2017-09-10,Giants,Cowboys,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Jaguars_Texans,2017,1,2017-09-10,Jaguars,Texans,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Jets_Bills,2017,1,2017-09-10,Jets,Bills,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Panthers_49ers,2017,1,2017-09-10,Panthers,49ers,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Raiders_Titans,2017,1,2017-09-10,Raiders,Titans,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Ravens_Bengals,2017,1,2017-09-10,Ravens,Bengals,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Seahawks_Packers,2017,1,2017-09-10,Seahawks,Packers,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Steelers_Browns,2017,1,2017-09-10,Steelers,Browns,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Chargers_Broncos,2017,1,2017-09-11,Chargers,Broncos,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_1_Saints_Vikings,2017,1,2017-09-11,Saints,Vikings,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_2_Texans_Bengals,2017,2,2017-09-14,Texans,Bengals,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_2_49ers_Seahawks,2017,2,2017-09-17,49ers,Seahawks,2.4628803532947825,46.625800024561116,0.5955640268329533,0.4044359731670466
2017_2_Bears_Buccaneers,2017,2,2017-09-17,Bears,Buccaneers,1.9416672866462001,45.165968779990024,0.5556606410657852,0.44433935893421417
2017_2_Bills_Panthers,2017,2,2017-09-17,Bills,Panthers,2.4628803532947825,46.625800024561116,0.5955640268329533,0.4044359731670466
2017_2_Browns_Ravens,2017,2,2017-09-17,Browns,Ravens,2.4628803532947825,46.625800024561116,0.5955640268329533,0.4044359731670466
2017_2_Cardinals_Colts,2017,2,2017-09-17,Cardinals,Colts,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_2_Cowboys_Broncos,2017,2,2017-09-17,Cowboys,Broncos,2.5458702069450596,45.13725554868057,0.5632638415629332,0.4367361584370663
2017_2_Dolphins_Chargers,2017,2,2017-09-17,Dolphins,Chargers,2.491538208071724,45.116904945722645,0.5605346241460563,0.43946537585394324
2017_2_Eagles_Chiefs,2017,2,2017-09-17,Eagles,Chiefs,2.8354237648276563,45.363490471997935,0.5617503558703981,0.4382496441296015
2017_2_Jets_Raiders,2017,2,2017-09-17,Jets,Raiders,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_2_Packers_Falcons,2017,2,2017-09-17,Packers,Falcons,2.4628803532947825,46.625800024561116,0.5955640268329533,0.4044359731670466
2017_2_Patriots_Saints,2017,2,2017-09-17,Patriots,Saints,2.182862140637379,47.14725213294091,0.588200333427797,0.4117996665722028
2017_2_Redskins_Rams,2017,2,2017-09-17,Redskins,Rams,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_2_Titans_Jaguars,2017,2,2017-09-17,Titans,Jaguars,2.4628803532947825,46.625800024561116,0.5955640268329533,0.4044359731670466
2017_2_Vikings_Steelers,2017,2,2017-09-17,Vikings,Steelers,3.033058301013232,46.66398708565412,0.5995457975463981,0.4004542024536017
2017_2_Lions_Giants,2017,2,2017-09-18,Lions,Giants,2.4628803532947825,46.625800024561116,0.5955640268329533,0.4044359731670466
2017_3_Rams_49ers,2017,3,2017-09-21,Rams,49ers,2.328122000509944,47.419068768489694,0.5695605494093773,0.4304394505906223
2017_3_Bengals_Packers,2017,3,2017-09-24,Bengals,Packers,2.0169864051684976,49.070399974343154,0.5399660379461205,0.46003396205387914
2017_3_Broncos_Bills,2017,3,2017-09-24,Broncos,Bills,0.6818763293829808,49.938460802072505,0.544884438435445,0.4551155615645548
2017_3_Browns_Colts,2017,3,2017-09-24,Browns,Colts,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_3_Buccaneers_Vikings,2017,3,2017-09-24,Buccaneers,Vikings,2.8054169640253206,47.490907271718164,0.5744062453639281,0.42559375463607163
2017_3_Chiefs_Chargers,2017,3,2017-09-24,Chiefs,Chargers,0.9547987312575483,44.271274859436645,0.5610748125135808,0.43892518748641923
2017_3_Dolphins_Jets,2017,3,2017-09-24,Dolphins,Jets,2.491538208071724,45.116904945722645,0.5605346241460563,0.43946537585394324
2017_3_Falcons_Lions,2017,3,2017-09-24,Falcons,Lions,0.238637936891438,46.938159870027896,0.5262380502326247,0.47376194976737496
2017_3_Giants_Eagles,2017,3,2017-09-24,Giants,Eagles,2.3425790585286728,46.52675838157126,0.5787474463163046,0.4212525536836954
2017_3_Raiders_Redskins,2017,3,2017-09-24,Raiders,Redskins,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_3_Ravens_Jaguars,2017,3,2017-09-24,Ravens,Jaguars,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_3_Saints_Panthers,2017,3,2017-09-24,Saints,Panthers,0.2910295358067812,46.90628446422517,0.5212684015683613,0.47873159843163837
2017_3_Seahawks_Titans,2017,3,2017-09-24,Seahawks,Titans,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_3_Steelers_Bears,2017,3,2017-09-24,Steelers,Bears,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_3_Texans_Patriots,2017,3,2017-09-24,Texans,Patriots,0.2833571915017729,45.7621106975475,0.49842303060863674,0.5015769693913632
2017_3_Cowboys_Cardinals,2017,3,2017-09-25,Cowboys,Cardinals,2.328122000509944,47.419068768489694,0.5695605494093773,0.4304394505906223
2017_4_Bears_Packers,2017,4,2017-09-28,Bears,Packers,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_4_49ers_Cardinals,2017,4,2017-10-01,49ers,Cardinals,1.12476346318305,49.868429852469006,0.5166407211262084,0.48335927887379143
2017_4_Bengals_Browns,2017,4,2017-10-01,Bengals,Browns,2.439165876801819,47.37654602267491,0.5495601729413103,0.4504398270586894
2017_4_Bills_Falcons,2017,4,2017-10-01,Bills,Falcons,2.439165876801819,47.37654602267491,0.5495601729413103,0.4504398270586894
2017_4_Colts_Seahawks,2017,4,2017-10-01,Colts,Seahawks,2.439165876801819,47.37654602267491,0.5495601729413103,0.4504398270586894
2017_4_Eagles_Chargers,2017,4,2017-10-01,Eagles,Chargers,2.96857958083176,44.082055860134645,0.6071122687879726,0.3928877312120272
2017_4_Giants_Buccaneers,2017,4,2017-10-01,Giants,Buccaneers,2.6688766964683204,44.962278223391756,0.5991590651471544,0.40084093485284505
2017_4_Jaguars_Jets,2017,4,2017-10-01,Jaguars,Jets,2.439165876801819,47.37654602267491,0.5495601729413103,0.4504398270586894
2017_4_Lions_Vikings,2017,4,2017-10-01,Lions,Vikings,2.3457609559651966,43.936325743292684,0.5618863297336976,0.4381136702663021
2017_4_Panthers_Patriots,2017,4,2017-10-01,Panthers,Patriots,1.3042492561942152,46.74693930136409,0.5249764125870913,0.4750235874129081
2017_4_Raiders_Broncos,2017,4,2017-10-01,Raiders,Broncos,2.96857958083176,44.082055860134645,0.6071122687879726,0.3928877312120272
2017_4_Rams_Cowboys,2017,4,2017-10-01,Rams,Cowboys,1.12476346318305,49.868429852469006,0.5166407211262084,0.48335927887379143
2017_4_Saints_Dolphins,2017,4,2017-10-01,Saints,Dolphins,0.4626444078453628,46.78309477710058,0.5340225054318222,0.4659774945681775
2017_4_Steelers_Ravens,2017,4,2017-10-01,Steelers,Ravens,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_4_Titans_Texans,2017,4,2017-10-01,Titans,Texans,2.439165876801819,47.37654602267491,0.5495601729413103,0.4504398270586894
2017_4_Redskins_Chiefs,2017,4,2017-10-02,Redskins,Chiefs,1.4523816786697177,49.90649879678173,0.5299393028931587,0.4700606971068409
2017_5_Patriots_Buccaneers,2017,5,2017-10-05,Patriots,Buccaneers,1.7763645202727067,44.13930956602874,0.5572154179584304,0.4427845820415693
2017_5_49ers_Colts,2017,5,2017-10-08,49ers,Colts,2.7000915924520394,45.38700319385294,0.5621246730960598,0.4378753269039395
2017_5_Bills_Bengals,2017,5,2017-10-08,Bills,Bengals,2.3453148172988794,45.09859571026179,0.5577294269570785,0.44227057304292083
2017_5_Cardinals_Eagles,2017,5,2017-10-08,Cardinals,Eagles,2.2149840106583234,46.13637761294261,0.5466662872220601,0.45333371277793955
2017_5_Chargers_Giants,2017,5,2017-10-08,Chargers,Giants,1.7977445284600977,48.04577269648944,0.5746068072829317,0.4253931927170682
2017_5_Chiefs_Texans,2017,5,2017-10-08,Chiefs,Texans,1.0782199580886416,46.98894919843443,0.549478559922958,0.4505214400770421
2017_5_Jaguars_Steelers,2017,5,2017-10-08,Jaguars,Steelers,2.2149840106583234,46.13637761294261,0.5466662872220601,0.45333371277793955
2017_5_Jets_Browns,2017,5,2017-10-08,Jets,Browns,1.4892879009152755,45.15079043656423,0.5415389278207315,0.458461072179268
2017_5_Packers_Cowboys,2017,5,2017-10-08,Packers,Cowboys,0.3589738221241739,49.0825333347588,0.5179959767337827,0.482004023266217
2017_5_Panthers_Lions,2017,5,2017-10-08,Panthers,Lions,1.4892879009152755,45.15079043656423,0.5415389278207315,0.458461072179268
2017_5_Ravens_Raiders,2017,5,2017-10-08,Ravens,Raiders,2.2149840106583234,46.13637761294261,0.5466662872220601,0.45333371277793955
2017_5_Seahawks_Rams,2017,5,2017-10-08,Seahawks,Rams,1.4892879009152755,45.15079043656423,0.5415389278207315,0.458461072179268
2017_5_Titans_Dolphins,2017,5,2017-10-08,Titans,Dolphins,2.076537006803374,45.36061232063032,0.5571919733930093,0.44280802660699
2017_5_Vikings_Bears,2017,5,2017-10-09,Vikings,Bears,2.1644660647561604,45.21295789992502,0.5517681911544214,0.4482318088455784
2017_6_Eagles_Panthers,2017,6,2017-10-12,Eagles,Panthers,1.4892879009152755,45.15079043656423,0.5415389278207315,0.458461072179268
2017_6_49ers_Redskins,2017,6,2017-10-15,49ers,Redskins,2.695068883935408,45.879198080020835,0.6115191719843358,0.3884808280156643
2017_6_Bears_Ravens,2017,6,2017-10-15,Bears,Ravens,3.147618535778222,45.53855727873081,0.5588739874448385,0.4411260125551612
2017_6_Browns_Texans,2017,6,2017-10-15,Browns,Texans,2.342731428523818,45.15883724895736,0.5590934331051929,0.4409065668948064
2017_6_Buccaneers_Cardinals,2017,6,2017-10-15,Buccaneers,Cardinals,1.0183428217229729,49.93764506788488,0.530082280914342,0.46991771908565777
2017_6_Chargers_Raiders,2017,6,2017-10-15,Chargers,Raiders,1.5497409397983501,45.63297162580688,0.5449975930123386,0.45500240698766087
2017_6_Dolphins_Falcons,2017,6,2017-10-15,Dolphins,Falcons,2.872076175019668,45.941089404029626,0.5689885220123071,0.43101147798769285
2017_6_Giants_Broncos,2017,6,2017-10-15,Giants,Broncos,3.088657167522347,46.00155343825799,0.6038901119948035,0.3961098880051969
2017_6_Lions_Saints,2017,6,2017-10-15,Lions,Saints,2.1447335961268554,50.48710585092536,0.5593693314360222,0.4406306685639777
2017_6_Packers_Vikings,2017,6,2017-10-15,Packers,Vikings,2.574215257083012,45.2794869742919,0.5637501316592803,0.43624986834071916
2017_6_Patriots_Jets,2017,6,2017-10-15,Patriots,Jets,2.209076530684978,46.56079420100759,0.5570034340489668,0.44299656595103254
2017_6_Rams_Jaguars,2017,6,2017-10-15,Rams,Jaguars,2.432235281378833,45.61531790765916,0.5584061696340208,0.4415938303659785
2017_6_Steelers_Chiefs,2017,6,2017-10-15,Steelers,Chiefs,0.172587324130723,45.54018480853221,0.5231226697200202,0.4768773302799795
2017_6_Colts_Titans,2017,6,2017-10-16,Colts,Titans,2.3427465493426274,45.82970323533029,0.5473076727466415,0.45269232725335806
2017_7_Chiefs_Raiders,2017,7,2017-10-19,Chiefs,Raiders,2.088990316711364,45.65458247231134,0.5597292852234576,0.4402707147765422
2017_7_Bengals_Steelers,2017,7,2017-10-22,Bengals,Steelers,2.796444963901118,45.06994261451746,0.5603200081662495,0.43967999183374995
2017_7_Broncos_Chargers,2017,7,2017-10-22,Broncos,Chargers,4.231927174557535,44.36140369123549,0.5778997405569247,0.42210025944307517
2017_7_Buccaneers_Bills,2017,7,2017-10-22,Buccaneers,Bills,2.858486072892342,48.05280801494518,0.557970896672864,0.4420291033271355
2017_7_Cardinals_Rams,2017,7,2017-10-22,Cardinals,Rams,2.0486720487992325,45.2321792259336,0.545679436120294,0.4543205638797054
2017_7_Cowboys_49ers,2017,7,2017-10-22,Cowboys,49ers,2.4931984595328816,47.62219041391161,0.5658129581286052,0.4341870418713947
2017_7_Falcons_Patriots,2017,7,2017-10-22,Falcons,Patriots,3.8763336048454353,44.378301203218044,0.5696224327874736,0.4303775672125265
2017_7_Jaguars_Colts,2017,7,2017-10-22,Jaguars,Colts,2.001062231832996,45.65381569232101,0.5583711259810121,0.44162887401898715
2017_7_Jets_Dolphins,2017,7,2017-10-22,Jets,Dolphins,2.0968249295637067,45.503950139373565,0.5559231227548439,0.4440768772451553
2017_7_Panthers_Bears,2017,7,2017-10-22,Panthers,Bears,-0.16276369819038486,45.463907918572325,0.5436964562039032,0.45630354379609617
2017_7_Ravens_Vikings,2017,7,2017-10-22,Ravens,Vikings,2.892863719452456,45.10965510810173,0.5908789051405378,0.4091210948594622
2017_7_Saints_Packers,2017,7,2017-10-22,Saints,Packers,2.907573415011316,46.3752299899361,0.6173644542679444,0.3826355457320559
2017_7_Seahawks_Giants,2017,7,2017-10-22,Seahawks,Giants,2.3987801371490596,45.11137767998691,0.5590380315527852,0.4409619684472144
2017_7_Titans_Browns,2017,7,2017-10-22,Titans,Browns,3.18503098518238,44.909515227056964,0.5708160383465154,0.4291839616534844
2017_7_Redskins_Eagles,2017,7,2017-10-23,Redskins,Eagles,4.640170997208883,46.25668241343435,0.5936100094974213,0.40638999050257846
2017_8_Dolphins_Ravens,2017,8,2017-10-26,Dolphins,Ravens,2.8043790691080672,45.55897638420617,0.5494238642325467,0.45057613576745303
2017_8_49ers_Eagles,2017,8,2017-10-29,49ers,Eagles,3.0702206997991235,46.22931523958724,0.5868363308668944,0.41316366913310526
2017_8_Bears_Saints,2017,8,2017-10-29,Bears,Saints,0.41712206824931114,48.00331115541488,0.5198765998978981,0.48012340010210164
2017_8_Chargers_Patriots,2017,8,2017-10-29,Chargers,Patriots,0.23048031858105378,44.955249122545204,0.5288559534569852,0.4711440465430145
2017_8_Colts_Bengals,2017,8,2017-10-29,Colts,Bengals,0.9121802187344128,47.83624961077515,0.5236238469812327,0.476376153018767
