game_id,Season,Week,game_date,away_team,home_team,book,market,side,odds,pred_home_margin,pred_total,model_prob,implied_prob,edge
2020_2020-12-27_giants_at_ravens,2020,Week 16,2020-12-27,Giants,Ravens,testbook,moneyline,home,-110,14.464612797439862,40.79982525193294,0.962806020389844,0.5238095238095238,0.43899649658032014
2017_2017-09-10_giants_at_cowboys,2017,Week 1,2017-09-10,Giants,Cowboys,testbook,moneyline,home,-110,15.166015697356574,22.268492885679716,0.9625549280115938,0.5238095238095238,0.43874540420207
2019_2020-01-19_packers_at_49ers,2019,Conference Championships,2020-01-19,Packers,49ers,testbook,moneyline,home,-110,19.013707065058902,58.904081152357264,0.9625095883887248,0.5238095238095238,0.43870006457920097
2017_2017-09-17_browns_at_ravens,2017,Week 2,2017-09-17,Browns,Ravens,testbook,moneyline,home,-110,12.06667298604498,34.91560012743679,0.9622585317901796,0.5238095238095238,0.4384490079806558
2018_2018-11-11_falcons_at_browns,2018,Week 10,2018-11-11,Falcons,Browns,testbook,moneyline,home,-110,12.272662387056,44.42963939648633,0.9622508778758778,0.5238095238095238,0.438441354066354
2018_2018-12-16_cowboys_at_colts,2018,Week 15,2018-12-16,Cowboys,Colts,testbook,moneyline,home,-110,19.675260002935627,24.671700426848314,0.9615969845171716,0.5238095238095238,0.43778746070764774
2017_2017-10-22_broncos_at_chargers,2017,Week 7,2017-10-22,Broncos,Chargers,testbook,moneyline,home,-110,18.147255425176034,21.397408260545344,0.9615297885236742,0.5238095238095238,0.4377202647141504
2021_2021-10-03_lions_at_bears,2021,Week 4,2021-10-03,Lions,Bears,testbook,moneyline,home,-110,15.62161895444769,40.08723791742368,0.9613516359590788,0.5238095238095238,0.43754211214955496
2018_2018-12-02_colts_at_jaguars,2018,Week 13,2018-12-02,Colts,Jaguars,testbook,moneyline,home,-110,10.255013060403272,14.266721381151523,0.9608436592170264,0.5238095238095238,0.4370341354075026
2019_2019-11-17_bengals_at_raiders,2019,Week 11,2019-11-17,Bengals,Raiders,testbook,moneyline,home,-110,9.387899731691908,27.104661528753617,0.9608326367936988,0.5238095238095238,0.43702311298417496
2017_2017-11-19_rams_at_vikings,2017,Week 11,2017-11-19,Rams,Vikings,testbook,moneyline,home,-110,16.024571105779575,32.95725350520555,0.9604161022047432,0.5238095238095238,0.4366065783952193
2017_2017-12-31_jaguars_at_titans,2017,Week 17,2017-12-31,Jaguars,Titans,testbook,moneyline,home,-110,10.717315772090547,23.43028033724173,0.960379043485696,0.5238095238095238,0.4365695196761722
2020_2020-09-27_raiders_at_patriots,2020,Week 3,2020-09-27,Raiders,Patriots,testbook,moneyline,home,-110,11.851372130179238,54.96945841059761,0.9602539017096694,0.5238095238095238,0.43644437790014556
2018_2018-09-09_cowboys_at_panthers,2018,Week 1,2018-09-09,Cowboys,Panthers,testbook,moneyline,home,-110,10.25733446402365,22.23240706482032,0.9596163742382392,0.5238095238095238,0.43580685042871536
2018_2018-11-04_jets_at_dolphins,2018,Week 9,2018-11-04,Jets,Dolphins,testbook,moneyline,home,-110,8.60623372746844,15.92887975995668,0.959547386148202,0.5238095238095238,0.4357378623386782
