game_id,Season,Week,game_date,away_team,home_team,side,closing_odds,model_prob_raw,model_prob_adj,implied_prob,edge_raw,edge,actual_win,profit,books_used,favorite_or_dog,test_edge_threshold,test_odds_cap
2024_2_Colts_Packers,2024,2,2024-09-15,Colts,Packers,home,119.0,0.8028846918701225,0.6643792169485574,0.45662100456621,0.3462636873039124,0.2077582123823473,1,1.19,10,underdog,0.03,150
2025_5_Texans_Ravens,2025,5,2025-10-05,Texans,Ravens,home,115.0,0.7595494324466165,0.6417761710958769,0.4651162790697674,0.2944331533768491,0.1766598920261095,0,-1.0,11,underdog,0.03,150
2024_3_Eagles_Saints,2024,3,2024-09-22,Eagles,Saints,away,120.0,0.7357356762256105,0.6232595875535482,0.4545454545454545,0.281190221680156,0.1687141330080936,1,1.2,10,underdog,0.03,150
2025_4_Commanders_Falcons,2025,4,2025-09-28,Commanders,Falcons,away,125.0,0.6558258227741827,0.5712732714422873,0.4444444444444444,0.2113813783297382,0.1268288269978429,0,-1.0,11,underdog,0.03,150
2025_7_Falcons_49ers,2025,7,2025-10-19,Falcons,49ers,home,-120.0,0.7508515006187405,0.6686927185530624,0.5454545454545454,0.2053969551641951,0.123238173098517,1,0.8333333333333334,11,favorite,0.03,150
2025_2_Falcons_Vikings,2025,2,2025-09-14,Falcons,Vikings,home,-165.0,0.8273624993430936,0.745474103379441,0.6226415094339622,0.2047209899091313,0.1228325939454787,0,-1.0,11,favorite,0.03,150
2024_14_Bears_49ers,2024,14,2024-12-08,Bears,49ers,home,-165.5,0.8262663830548392,0.7451006961229223,0.623352165725047,0.2029142173297922,0.1217485303978752,1,0.6042296072507553,10,favorite,0.03,150
2025_7_Eagles_Vikings,2025,7,2025-10-19,Eagles,Vikings,away,-135.0,0.761968984561805,0.6869686247796362,0.574468085106383,0.1875008994554219,0.1125005396732531,1,0.7407407407407407,11,favorite,0.03,150
2024_12_Ravens_Chargers,2024,12,2024-11-25,Ravens,Chargers,away,-149.0,0.7818808794450104,0.7084859573858817,0.5983935742971888,0.1834873051478216,0.1100923830886929,1,0.6711409395973155,10,favorite,0.03,150
2025_9_Jaguars_Raiders,2025,9,2025-11-02,Jaguars,Raiders,away,-140.0,0.766230191500313,0.6930714482335212,0.5833333333333334,0.1828968581669796,0.1097381149001878,1,0.7142857142857143,11,favorite,0.03,150
2024_11_Browns_Saints,2024,11,2024-11-17,Browns,Saints,home,105.0,0.6685876459720749,0.596274538802757,0.4878048780487805,0.1807827679232944,0.1084696607539765,1,1.05,10,underdog,0.03,150
2024_18_Bengals_Steelers,2024,18,2025-01-04,Bengals,Steelers,away,-140.0,0.7629276409307634,0.6910899178917914,0.5833333333333334,0.17959430759743,0.107756584558458,1,0.7142857142857143,10,favorite,0.03,150
2025_9_49ers_Giants,2025,9,2025-11-02,49ers,Giants,away,-145.0,0.7697164627581828,0.6985645715324607,0.5918367346938775,0.1778797280643053,0.1067278368385831,1,0.6896551724137931,11,favorite,0.03,150
2025_14_Eagles_Chargers,2025,14,2025-12-08,Eagles,Chargers,away,-136.0,0.7539176599401425,0.6828590705403567,0.576271186440678,0.1776464734994645,0.1065878840996786,0,-1.0,11,favorite,0.03,150
2025_4_Colts_Rams,2025,4,2025-09-28,Colts,Rams,home,-190.0,0.8308895873549909,0.7606027179302359,0.6551724137931034,0.1757171735618874,0.1054303041371325,1,0.5263157894736842,11,favorite,0.03,150
2024_18_Texans_Titans,2024,18,2025-01-05,Texans,Titans,home,-130.0,0.7404692050575741,0.6703684795562835,0.5652173913043478,0.1752518137532263,0.1051510882519357,0,-1.0,10,favorite,0.03,150
