Season,Week,bets,wins,roi,avg_edge_shrunk_40,avg_edge_close,avg_hybrid_score
2024,1,4,4,0.4632347044178644,0.0395289647824316,0.09411535313792549,0.23217014311124526
2024,2,3,3,0.5381862616740857,0.0412291131571921,0.086593389092939,0.22015947847514314
2024,3,1,1,0.4,0.0478473231019632,0.1217171835085885,0.2585172461394708
2024,4,2,2,0.3408450704225352,0.0438559823159673,0.05547124918296015,0.2274063372127165
2024,5,2,2,0.6281213983864771,0.0317349995735659,0.04507165364873045,0.18452033977110474
2024,6,4,4,0.5488833084330276,0.0512111365291981,0.12057136142083727,0.23969087947522363
2024,7,3,3,0.43044702494243775,0.04110994755042387,0.08040528625854478,0.23467870375661892
2024,8,3,3,0.5259183406276886,0.04498672871513613,0.12986032857268162,0.24398462848449964
2024,9,2,2,0.41991341991341985,0.042173906234157704,0.0811826699124201,0.23323969381746473
2024,10,3,2,0.1798484848484848,0.053854346730764564,0.13845040728594946,0.23714330229052394
2024,11,4,3,0.23103126224223458,0.0421821778579929,0.10576113810833232,0.22398155617805132
2024,12,4,4,0.5558880528955769,0.033047846311757424,0.0700805538660378,0.2159724576858819
2024,13,3,3,0.5446086480569239,0.03561227958418863,0.0970075002720112,0.22299119257761935
2024,14,4,2,-0.30512144605535685,0.04329970361698245,0.08769555369368764,0.22740129345053278
2024,15,4,4,0.45603543743078623,0.044237598198965944,0.09338469266436435,0.23413570311614085
2024,16,4,3,0.1635188306879833,0.03401289150535008,0.0742073395406605,0.219759864618714
2024,17,4,4,0.5413165538148694,0.04035359652196665,0.07672726733946472,0.21619930448788097
2024,18,4,3,0.1401503759398496,0.05294304910889512,0.1154440010377715,0.23623362930437863
2024,19,2,0,-1.0,0.03022265027025555,0.07951722182449325,0.1988810469570086
2024,21,2,2,0.5600539811066128,0.029982383466831748,0.06013757635727705,0.20470933365993899
2025,1,4,4,0.592046702391437,0.0369216802807828,0.07332981499206695,0.20900735119439978
2025,2,4,2,-0.33495670995671,0.047695219922128475,0.09328882082987998,0.2352057501822086
2025,3,4,2,-0.1958333333333333,0.02839134256788385,0.052132006232632776,0.20184188309743212
2025,4,1,1,0.5128205128205128,0.0555380575134563,0.1021971844882504,0.2392025556567924
2025,5,2,1,-0.24874371859296485,0.0524823311886014,0.17445334055017925,0.26223453043453127
2025,6,4,2,-0.3103986339280457,0.03913388439426495,0.08545047669018965,0.22797879521565123
2025,7,1,0,-1.0,0.021537047243277,0.0973019997588569,0.1824781004829417
2025,9,4,3,0.2030260380014075,0.05259442979095255,0.13866633001125853,0.2517956580618559
2025,10,4,3,0.03874211577742359,0.03944246526523387,0.048594219993157474,0.2215130798828435
2025,11,4,2,-0.31023988542785536,0.035084681420808624,0.07278643129128355,0.23112762326851746
2025,13,2,0,-1.0,0.0370144109878097,0.11084101789199215,0.22506222559796335
2025,14,2,0,-1.0,0.05480792612526755,0.12460715559460336,0.24892228902647884
2025,15,3,0,-1.0,0.03781766206422863,0.07134603777077873,0.22603439995236632
2025,16,3,0,-1.0,0.03377818155152307,0.06036038571636426,0.21028298821460742
2025,17,3,0,-1.0,0.0323141581062469,0.07158007149041659,0.23028792313729018
