model_prob_bucket,bets,wins,profit_units,avg_model_prob,avg_implied_prob,avg_odds,win_rate,roi,calibration_gap
"[0.5, 0.55)",1,0,-1.0,0.5499169409207346,0.4347826086956521,130.0,0.0,-1.0,-0.5499169409207346
"[0.55, 0.6)",5,2,-0.72,0.5731563921198752,0.44158785772887593,128.2,0.4,-0.144,-0.1731563921198752
"[0.6, 0.65)",5,3,0.9440909090909091,0.6199827569799498,0.5030420030420031,18.7,0.6,0.18881818181818183,-0.01998275697994978
"[0.65, 0.7)",4,1,-2.3333333333333335,0.6740961487905248,0.525,-12.5,0.25,-0.5833333333333334,-0.4240961487905248
"[0.7, 0.75)",10,7,1.4439157113755505,0.7341667654321562,0.6038169781043052,-153.1,0.7,0.14439157113755505,-0.03416676543215624
"[0.75, 0.8)",21,9,-6.454020384644467,0.7680817957325646,0.6222103534919023,-159.42857142857142,0.42857142857142855,-0.3073343040306889,-0.3395103671611361
"[0.8, 0.9)",9,5,-1.8014299818811097,0.8343942571917995,0.687422867799192,-223.66666666666666,0.5555555555555556,-0.20015888687567884,-0.2788387016362439
