Season,prob_bucket,bets,wins,roi,hit_rate,avg_true_prob,avg_market_prob,avg_edge_market,avg_edge_open,avg_edge_close,avg_otm_move,avg_mtc_move,avg_ev,avg_hybrid_score
2024,0.60-0.65,21,18,0.5497234900492487,0.8571428571428571,0.6174877926203124,0.5560976503077206,0.06370593463603881,0.0649126111261025,0.0604999288053978,0.002113856472843011,0.002298825847861677,0.11940452203909062,0.2454311491012535
2024,0.80+,21,21,0.4567848508653179,1.0,0.8201187826163935,0.688630950548782,0.13080363437822196,0.1430678989896056,0.13824797662318733,0.00017568507824131097,0.004644237288176923,0.20376557164911246,0.3492852498301741
2024,0.75-0.80,72,67,0.27117488628598757,0.9305555555555556,0.7717815092183558,0.7402115401741814,0.030087410067011995,0.037273514873006765,0.019765975029161054,0.014604877023638104,0.002902662820207588,0.0542227345791936,0.28365538586751154
2024,0.70-0.75,75,56,0.06737809514659403,0.7466666666666667,0.728821504802882,0.708692101511585,0.020638628656025306,0.03194049033341366,0.011392984714839464,0.012188368400036115,0.008359137218538067,0.04449511604352309,0.2654791428130957
2025,0.55-0.60,31,15,-0.13650865639194007,0.4838709677419355,0.5738825319846986,0.5643694382349695,0.009707709493376827,0.004936348080629579,0.016485512304850715,-0.010954312269604825,-0.0005948519546163072,0.028065815381268802,0.20415030406311613
2024,0.50-0.55,14,6,-0.17719590639994312,0.42857142857142855,0.5317398263649272,0.5796824906081253,-0.047970059732299536,-0.014008346769002537,-0.020910635096708336,0.002089411796325146,0.0048128765313806545,-0.052427835858205526,0.17687530282407546
2025,0.60-0.65,29,13,-0.20182236125891084,0.4482758620689655,0.6192516716445999,0.575966511653308,0.04285093506759434,0.04315434194622625,0.04743775330418109,-0.002980340940885741,-0.0013030704170690908,0.07654508520721857,0.2355189505158067
2024,0.55-0.60,44,20,-0.2148768054309655,0.45454545454545453,0.5710488983434122,0.556497798919395,0.013895535427266077,0.00733403858793173,-0.006803357405043956,0.003222958676817072,0.010914437316158604,0.04459066136893053,0.1999714089419313
2024,0.65-0.70,36,18,-0.23503694696308586,0.5,0.6812254049735356,0.685704482030264,-0.00514507543076086,0.00015661897442091364,-0.011005186942492865,0.007211348390435437,0.003950457526478333,0.005957324606494983,0.23656848750071754
2024,<=0.50,242,66,-0.3105656716780202,0.2727272727272727,0.30967341189577835,0.40481702040420614,-0.0902857414842189,-0.09735723876154283,-0.08533643454224453,-0.006307130990361505,-0.005713673228936791,-0.03949130798826846,0.066862776924797
2025,0.80+,16,8,-0.32345447482554956,0.5,0.826997220333356,0.7098519659370821,0.11620563009173188,0.1250558314698474,0.09336132564020104,0.01796598972323803,0.013728516106408252,0.1683579359778413,0.3441170380633456
2025,0.70-0.75,53,24,-0.3554654294247245,0.4528301886792453,0.7283336459656727,0.7233499919271796,0.004245774687988159,0.021496230338664553,0.0022113763545635145,0.020816377178242227,-0.001531523194141208,0.01721639030325188,0.2613994585068731
2025,0.65-0.70,25,11,-0.36831740751202197,0.44,0.6745629943303932,0.6706936494057488,0.0037566845745263004,0.010218894972761083,-0.006922559892155483,0.018735564888027596,-0.0015941100231110408,0.023042714012258495,0.23795783351830996
2025,0.75-0.80,87,40,-0.38500299758327805,0.45977011494252873,0.7663896569762373,0.7634203684001122,0.002985163028519991,0.017623562382571418,0.005717335225062074,0.011318038648661965,0.0005881885088473631,0.019049968506878606,0.2740959025119225
2025,<=0.50,191,43,-0.46822480768353236,0.225130890052356,0.3075373756691989,0.40312037213666413,-0.0930101218915252,-0.09835597412935537,-0.09625025348977585,-0.0030768755199254007,0.0009711548803458802,-0.22763916443496188,0.06297069208274547
2025,0.50-0.55,8,0,-1.0,0.0,0.5349071378588105,0.5339697207974742,0.0003122490257826722,-0.0007871348351525294,-0.0016020825284858836,-0.016049202124567757,0.0168641498179011,0.008789606234124567,0.18524306154448678
