Season,odds_bucket,bets,wins,roi,hit_rate,avg_true_prob,avg_market_prob,avg_edge_market,avg_edge_open,avg_edge_close,avg_otm_move,avg_mtc_move,avg_ev,avg_hybrid_score
2024,Medium Favorite,106,81,0.12349714434923917,0.7641509433962265,0.7364175094158083,0.6743326429615164,0.062084866454291884,0.06921648625371697,0.05429205332184203,0.00897492604074063,0.005949506891134295,0.09349697607523079,0.29246244400715793
2024,Light Favorite,68,38,0.009190089821924808,0.5588235294117647,0.5631921932767604,0.5603207384228909,0.0028714548538694602,0.004645165646061386,0.007297645194785705,-0.0026713942341687804,1.8914685444463405e-05,0.004707683213406324,0.19909595073932604
2024,Heavy Favorite,52,38,-0.11911260351903383,0.7307692307692307,0.7378279341442258,0.8114253843964817,-0.07359745025225586,-0.05786729250064801,-0.080748671264092,0.01810969554839618,0.004771683215047796,-0.0888569236554916,0.2221584744878463
2024,Unknown,106,54,-0.12952305299800596,0.5094339622641509,0.511502566725282,,,,,,,,0.1790258983538487
2024,Small Dog,80,27,-0.1984207324207324,0.3375,0.3152925643872642,0.41327271769972496,-0.09798015331246072,-0.10274833454607528,-0.09027319121664135,-0.0073084605863599165,-0.00516668274307399,-0.24425796112117631,0.05511699289532198
2024,Pickem,53,21,-0.229671442867837,0.39622641509433965,0.44654116005085753,0.49402618362496853,-0.047485023574110996,-0.05426787872836255,-0.05797751320994077,0.0044402895892135755,-0.0007306551076353542,0.5753587669016811,0.12463862322540858
2024,Big Dog,60,13,-0.25975000000000004,0.21666666666666667,0.24369120891669555,0.3084943702002165,-0.0648031612835209,-0.07574064914526098,-0.06196727881062873,-0.010708268522173147,-0.00306510181245909,-0.1955366207070407,0.045194759888840565
2025,Small Dog,78,23,-0.2900760481862844,0.2948717948717949,0.31454323191216255,0.4233901458455246,-0.10884691393336204,-0.113319334383218,-0.10347355530239116,-0.008411768008907835,-0.0014340110719189975,-0.26405893574674105,0.04833921585680036
2025,Medium Favorite,87,42,-0.294366872021519,0.4827586206896552,0.7403179877227956,0.6712308787090857,0.06908710901370992,0.07573760250839182,0.06138245039425029,0.010744903312857787,0.0036102488012837316,0.10405684212116016,0.29760286760273863
2025,Light Favorite,56,22,-0.3000798390355096,0.39285714285714285,0.5727972657375099,0.5700160852483026,0.0027811804892073225,0.008567231968600635,0.006319782820125889,0.004041396346405063,-0.0017939471979303181,0.0029154447598512684,0.20403938221128606
2025,Heavy Favorite,63,30,-0.4086615142884479,0.47619047619047616,0.7404578910762348,0.822194237494357,-0.08173634641812214,-0.05909918784929135,-0.08047905994363036,0.022220715942242418,-0.0008408438479034405,-0.09698006804797223,0.222855851439233
2025,Pickem,28,8,-0.4302810957158783,0.2857142857142857,0.47907259491954574,0.49636659094263885,-0.01729399602309312,-0.0248412083819392,-0.0168802965403336,-0.007385219570052537,-0.0005756922715530571,-0.03422593982081064,0.15454245159774863
2025,Unknown,78,24,-0.45684755705328467,0.3076923076923077,0.5255410310224402,,,,,,,,0.18393936085785403
2025,Big Dog,50,5,-0.7153142857142858,0.1,0.24134804967960988,0.30534886935273503,-0.06400081967312515,-0.07793958066378188,-0.07847865322948178,-0.00588411115920134,0.006423183724901208,-0.19094982403439165,0.04041795566052238
