game_id,Season,Week,game_date,game_date_str,AwayTeam,HomeTeam,season_type,week_sort,team,total_plays,offensive_plays,pass_plays,rush_plays,sacks,punts,field_goal_plays,turnovers,penalties,first_downs,touchdowns,scoring_plays,scoring_drives,red_zone_plays,explosive_passes,explosive_runs,drive_count,pass_rate,rush_rate,explosive_play_rate,scoring_drive_rate,home_or_away
2017_2017-08-03_cardinals_at_cowboys,2017,Hall Of Fame,2017-08-03,2017-08-03,Cardinals,Cowboys,preseason,-2.0,Cardinals,79,62,34,29,2,5,3,0,7,0,2,4,1,0,5,3,6,0.5483870967741935,0.46774193548387094,0.12903225806451613,0.16666666666666666,away
2017_2017-08-03_cardinals_at_cowboys,2017,Hall Of Fame,2017-08-03,2017-08-03,Cardinals,Cowboys,preseason,-2.0,Cowboys,97,77,39,38,0,5,2,1,16,0,2,6,1,0,4,4,6,0.5064935064935064,0.4935064935064935,0.1038961038961039,0.16666666666666666,home
2017_2017-08-09_texans_at_panthers,2017,Preseason Week 1,2017-08-09,2017-08-09,Texans,Panthers,preseason,-1.0,Panthers,80,60,30,30,1,4,3,2,5,0,4,8,1,0,4,6,7,0.5,0.5,0.16666666666666666,0.14285714285714285,home
2017_2017-08-09_texans_at_panthers,2017,Preseason Week 1,2017-08-09,2017-08-09,Texans,Panthers,preseason,-1.0,Texans,98,81,54,27,5,6,2,1,14,0,2,5,1,0,3,2,8,0.6666666666666666,0.3333333333333333,0.06172839506172839,0.125,away
2017_2017-08-10_broncos_at_bears,2017,Preseason Week 1,2017-08-10,2017-08-10,Broncos,Bears,preseason,-1.0,Bears,97,76,41,35,0,5,1,2,12,0,3,6,1,0,1,8,6,0.5394736842105263,0.4605263157894737,0.11842105263157894,0.16666666666666666,home
2017_2017-08-10_broncos_at_bears,2017,Preseason Week 1,2017-08-10,2017-08-10,Broncos,Bears,preseason,-1.0,Broncos,72,54,26,28,2,5,1,0,13,0,2,5,1,0,2,1,7,0.48148148148148145,0.5185185185185185,0.05555555555555555,0.14285714285714285,away
2017_2017-08-10_eagles_at_packers,2017,Preseason Week 1,2017-08-10,2017-08-10,Eagles,Packers,preseason,-1.0,Eagles,95,76,56,20,1,4,2,4,7,0,2,3,1,0,2,0,10,0.7368421052631579,0.2631578947368421,0.02631578947368421,0.1,away
2017_2017-08-10_eagles_at_packers,2017,Preseason Week 1,2017-08-10,2017-08-10,Eagles,Packers,preseason,-1.0,Packers,77,61,43,18,5,6,1,3,5,0,2,5,1,0,2,3,9,0.7049180327868853,0.29508196721311475,0.08196721311475409,0.1111111111111111,home
2017_2017-08-10_falcons_at_dolphins,2017,Preseason Week 1,2017-08-10,2017-08-10,Falcons,Dolphins,preseason,-1.0,Dolphins,76,58,36,22,0,5,1,3,10,0,3,6,1,0,1,1,9,0.6206896551724138,0.3793103448275862,0.034482758620689655,0.1111111111111111,home
2017_2017-08-10_falcons_at_dolphins,2017,Preseason Week 1,2017-08-10,2017-08-10,Falcons,Dolphins,preseason,-1.0,Falcons,86,66,33,33,2,6,3,1,8,0,3,6,1,0,0,3,8,0.5,0.5,0.045454545454545456,0.125,away
2017_2017-08-10_jaguars_at_patriots,2017,Preseason Week 1,2017-08-10,2017-08-10,Jaguars,Patriots,preseason,-1.0,Jaguars,76,56,19,37,0,3,3,0,3,0,4,9,1,0,1,3,7,0.3392857142857143,0.6607142857142857,0.07142857142857142,0.14285714285714285,away
