game_id,Season,Week,game_date,away_team,home_team,bet_team,side,closing_odds,model_prob_raw,model_prob_adj,implied_prob,edge_raw,edge,books_used,actual_win,profit
2024_1_Panthers_Saints,2024,1,2024-09-08,Panthers,Saints,Saints,home,-191.0,0.8145467460170586,0.7512710029366956,0.6563573883161512,0.1581893577009073,0.0949136146205443,10,1,0.5235602094240838
2024_1_Titans_Bears,2024,1,2024-09-08,Titans,Bears,Bears,home,-204.5,0.7797424194148257,0.7364825616653158,0.6715927750410509,0.1081496443737748,0.0648897866242649,10,1,0.4889975550122249
2024_1_Raiders_Chargers,2024,1,2024-09-08,Raiders,Chargers,Chargers,home,-155.5,0.7098605906107321,0.6693605813723101,0.6086105675146771,0.101250023096055,0.060750013857633,10,1,0.6430868167202572
2024_1_Jets_49ers,2024,1,2024-09-09,Jets,49ers,49ers,home,-210.0,0.7675934900149427,0.7315238359444494,0.6774193548387096,0.090174135176233,0.0541044811057397,10,1,0.4761904761904761
2024_2_Steelers_Broncos,2024,2,2024-09-15,Steelers,Broncos,Steelers,away,-150.0,0.7396819835502368,0.6838091901301421,0.6,0.1396819835502368,0.0838091901301421,10,1,0.6666666666666666
2024_2_Seahawks_Patriots,2024,2,2024-09-15,Seahawks,Patriots,Seahawks,away,-167.5,0.7141789732119047,0.678974673646769,0.6261682242990654,0.0880107489128393,0.0528064493477036,10,1,0.5970149253731343
2024_2_Bears_Texans,2024,2,2024-09-15,Bears,Texans,Texans,home,-270.0,0.8148537962524782,0.7808041696433788,0.7297297297297297,0.0851240665227485,0.0510744399136491,10,1,0.3703703703703703
2024_3_Lions_Cardinals,2024,3,2024-09-22,Lions,Cardinals,Lions,away,-155.0,0.7508573965165304,0.693651692811879,0.6078431372549019,0.1430142592616284,0.085808555556977,10,1,0.6451612903225806
2024_3_Chiefs_Falcons,2024,3,2024-09-22,Chiefs,Falcons,Chiefs,away,-163.5,0.7478266723230279,0.6968933468473272,0.6204933586337761,0.1273333136892518,0.0763999882135511,10,1,0.6116207951070336
2024_3_Jaguars_Bills,2024,3,2024-09-23,Jaguars,Bills,Bills,home,-250.0,0.8339040220406226,0.7860566989386593,0.7142857142857143,0.1196183077549083,0.0717709846529449,10,1,0.4
2024_3_Texans_Vikings,2024,3,2024-09-22,Texans,Vikings,Texans,away,-127.0,0.6694551615205195,0.6254616431678184,0.5594713656387665,0.109983795881753,0.0659902775290518,10,0,-1.0
2024_3_Dolphins_Seahawks,2024,3,2024-09-22,Dolphins,Seahawks,Seahawks,home,-202.5,0.7578463741812826,0.7224764195500919,0.6694214876033058,0.0884248865779768,0.0530549319467861,10,1,0.4938271604938271
2024_4_Seahawks_Lions,2024,4,2024-09-30,Seahawks,Lions,Lions,home,-210.0,0.7870239874310844,0.7431821343941345,0.6774193548387096,0.1096046325923747,0.0657627795554248,10,1,0.4761904761904761
2024_4_Jaguars_Texans,2024,4,2024-09-29,Jaguars,Texans,Texans,home,-250.0,0.8056613187751409,0.7691110769793703,0.7142857142857143,0.0913756044894266,0.054825362693656,10,1,0.4
2024_4_Bengals_Panthers,2024,4,2024-09-29,Bengals,Panthers,Bengals,away,-225.0,0.7782571984568636,0.743877395997195,0.6923076923076923,0.0859495061491713,0.0515697036895027,10,1,0.4444444444444444
2024_5_Saints_Chiefs,2024,5,2024-10-07,Saints,Chiefs,Chiefs,home,-242.5,0.8428705824435224,0.7889340282982302,0.708029197080292,0.1348413853632304,0.0809048312179382,10,1,0.4123711340206185
2024_5_Packers_Rams,2024,5,2024-10-06,Packers,Rams,Packers,away,-165.0,0.7387614872845184,0.6923134961442959,0.6226415094339622,0.1161199778505561,0.0696719867103337,10,1,0.6060606060606061
2024_5_Panthers_Bears,2024,5,2024-10-06,Panthers,Bears,Bears,home,-205.0,0.7796265710386173,0.7366284016395638,0.6721311475409836,0.1074954234976337,0.0644972540985802,10,1,0.4878048780487805
2024_6_Bills_Jets,2024,6,2024-10-14,Bills,Jets,Bills,away,-119.0,0.6907473106951285,0.6317999845905931,0.54337899543379,0.1473683152613385,0.088420989156803,10,1,0.8403361344537815
2024_6_Chargers_Broncos,2024,6,2024-10-13,Chargers,Broncos,Chargers,away,-155.0,0.7308921351642153,0.6816725360004899,0.6078431372549019,0.1230489979093133,0.073829398745588,10,1,0.6451612903225806
2024_6_Cardinals_Packers,2024,6,2024-10-13,Cardinals,Packers,Packers,home,-242.5,0.8260336417127648,0.7788318638597757,0.708029197080292,0.1180044446324728,0.0708026667794836,10,1,0.4123711340206185
2024_6_49ers_Seahawks,2024,6,2024-10-10,49ers,Seahawks,49ers,away,-190.0,0.7714392850865102,0.7249325365691475,0.6551724137931034,0.1162668712934067,0.069760122776044,10,1,0.5263157894736842
2024_6_Bengals_Giants,2024,6,2024-10-13,Bengals,Giants,Bengals,away,-190.0,0.7654162838834051,0.7213187358472845,0.6551724137931034,0.1102438700903016,0.066146322054181,10,1,0.5263157894736842
2024_6_Steelers_Raiders,2024,6,2024-10-13,Steelers,Raiders,Steelers,away,-176.5,0.7478945822038089,0.704071288201128,0.6383363471971067,0.1095582350067021,0.0657349410040212,10,1,0.56657223796034
2024_6_Lions_Cowboys,2024,6,2024-10-13,Lions,Cowboys,Lions,away,-175.0,0.74315416532851,0.7004379537425606,0.6363636363636364,0.1067905289648736,0.0640743173789242,10,1,0.5714285714285714
2024_7_Eagles_Giants,2024,7,2024-10-20,Eagles,Giants,Eagles,away,-163.5,0.7798996208384377,0.716137115956573,0.6204933586337761,0.1594062622046616,0.0956437573227969,10,1,0.6116207951070336
2024_7_Dolphins_Colts,2024,7,2024-10-20,Dolphins,Colts,Colts,home,-155.0,0.7315877798008806,0.6820899227824891,0.6078431372549019,0.1237446425459787,0.0742467855275872,10,1,0.6451612903225806
2024_8_Bills_Seahawks,2024,8,2024-10-27,Bills,Seahawks,Bills,away,-160.0,0.7732615791658232,0.7101107936533401,0.6153846153846154,0.1578769637812077,0.0947261782687246,10,1,0.625
2024_8_Cowboys_49ers,2024,8,2024-10-27,Cowboys,49ers,49ers,home,-229.0,0.831010170413929,0.7770255551358953,0.6960486322188449,0.134961538195084,0.0809769229170503,10,1,0.4366812227074236
2024_8_Packers_Jaguars,2024,8,2024-10-27,Packers,Jaguars,Packers,away,-190.0,0.7741701572203201,0.7265710598494335,0.6551724137931034,0.1189977434272167,0.07139864605633,10,1,0.5263157894736842
2024_8_Colts_Texans,2024,8,2024-10-27,Colts,Texans,Texans,home,-234.5,0.8105459564511573,0.7667461089977496,0.7010463378176383,0.109499618633519,0.0656997711801113,10,1,0.4264392324093816
2024_8_Vikings_Rams,2024,8,2024-10-24,Vikings,Rams,Vikings,away,-150.5,0.688948748660189,0.6536886104735584,0.6007984031936128,0.0881503454665761,0.0528902072799456,10,0,-1.0
2024_9_Commanders_Giants,2024,9,2024-11-03,Commanders,Giants,Commanders,away,-210.0,0.7631919507267635,0.7288829123715419,0.6774193548387096,0.0857725958880538,0.0514635575328322,10,1,0.4761904761904761
2024_10_Bills_Colts,2024,10,2024-11-10,Bills,Colts,Bills,away,-220.0,0.7877850513994713,0.7476710308396828,0.6875,0.1002850513994713,0.0601710308396827,10,1,0.4545454545454545
2024_11_Rams_Patriots,2024,11,2024-11-17,Rams,Patriots,Rams,away,-206.5,0.7764676207831509,0.7353748628450945,0.6737357259380098,0.1027318948451411,0.0616391369070846,10,1,0.4842615012106537
2024_11_Ravens_Steelers,2024,11,2024-11-17,Ravens,Steelers,Ravens,away,-175.0,0.7266353533589146,0.6905266665608033,0.6363636363636364,0.0902717169952782,0.0541630301971669,10,0,-1.0
2024_12_Ravens_Chargers,2024,12,2024-11-25,Ravens,Chargers,Ravens,away,-149.0,0.7818808794450104,0.7084859573858817,0.5983935742971888,0.1834873051478216,0.1100923830886929,10,1,0.6711409395973155
2024_12_Eagles_Rams,2024,12,2024-11-24,Eagles,Rams,Eagles,away,-152.5,0.7421620134048525,0.6868813664587531,0.6039603960396039,0.1382016173652486,0.0829209704191491,10,1,0.6557377049180327
2024_12_Cardinals_Seahawks,2024,12,2024-11-24,Cardinals,Seahawks,Seahawks,home,-112.0,0.6258618228051265,0.586837848400057,0.5283018867924528,0.0975599360126736,0.0585359616076042,7,1,0.8928571428571429
2024_12_Vikings_Bears,2024,12,2024-11-24,Vikings,Bears,Vikings,away,-172.0,0.7239254832483337,0.6872964664195884,0.6323529411764706,0.0915725420718631,0.0549435252431178,10,1,0.5813953488372093
2024_13_Cardinals_Vikings,2024,13,2024-12-01,Cardinals,Vikings,Vikings,home,-174.0,0.7693131723511412,0.7156025019508307,0.635036496350365,0.1342766760007762,0.0805660056004657,10,1,0.5747126436781609
2024_13_Colts_Patriots,2024,13,2024-12-01,Colts,Patriots,Colts,away,-140.0,0.7103742509729324,0.6595578839170928,0.5833333333333334,0.127040917639599,0.0762245505837594,10,1,0.7142857142857143
2024_13_Dolphins_Packers,2024,13,2024-11-28,Dolphins,Packers,Packers,home,-180.0,0.7495564769313402,0.7068767433016613,0.6428571428571429,0.1066993340741973,0.0640196004445183,10,1,0.5555555555555556
2024_13_Texans_Jaguars,2024,13,2024-12-01,Texans,Jaguars,Texans,away,-184.5,0.7426658235832756,0.7050019546069073,0.648506151142355,0.0941596724409206,0.0564958034645523,10,1,0.5420054200542005
2024_13_Titans_Commanders,2024,13,2024-12-01,Titans,Commanders,Commanders,home,-257.5,0.814242331901591,0.7766572872528428,0.7202797202797203,0.0939626116218707,0.0563775669731224,10,1,0.3883495145631068
2024_14_Bears_49ers,2024,14,2024-12-08,Bears,49ers,49ers,home,-165.5,0.8262663830548392,0.7451006961229223,0.623352165725047,0.2029142173297922,0.1217485303978752,10,1,0.6042296072507553
2024_14_Chargers_Chiefs,2024,14,2024-12-08,Chargers,Chiefs,Chiefs,home,-210.0,0.8033719420752656,0.7529909071806432,0.6774193548387096,0.125952587236556,0.0755715523419335,10,1,0.4761904761904761
2024_14_Falcons_Vikings,2024,14,2024-12-08,Falcons,Vikings,Vikings,home,-282.5,0.8363931555124409,0.7972607299087717,0.738562091503268,0.0978310640091728,0.0586986384055037,10,1,0.3539823008849557
2024_15_Packers_Seahawks,2024,15,2024-12-15,Packers,Seahawks,Packers,away,-143.5,0.7409840966386406,0.6803194107552584,0.5893223819301848,0.1516617147084558,0.0909970288250735,10,1,0.6968641114982579
