game_id,Season,Week,game_date,home_team_bet,away_team_bet,selected_team,profit,actual_win,model_prob,edge,closing_odds,implied_prob,books_used,selected_team_full,open_prob,mid_prob,close_prob,open_price,mid_price,close_price,mid_diff_seconds,match_rows,mid_diff_hours,mid_valid_24h,mid_valid_36h,mid_valid_48h,model_edge_vs_open,model_edge_vs_mid,model_edge_vs_close,true_moneyline,open_to_mid_prob_move,mid_to_close_prob_move,open_to_close_prob_move,edge_rank,hit
2024_10_Bills_Colts,2024,10,2024-11-10,Colts,Bills,Bills,0.4545454545454545,1,0.7877850513994713,0.1002850513994713,-220.0,0.6875,10,Buffalo Bills,0.6570166123260996,0.6698827507916555,0.6879502442002442,-208.0,-201.0,-220.0,16101.0,10,4.4725,True,True,True,0.13076843907337166,0.11790230060781581,0.0998348071992271,-371.22033890383,0.012866138465555843,0.01806749340858871,0.03093363187414455,2.0,1
2024_10_Jets_Cardinals,2024,10,2024-11-10,Cardinals,Jets,Cardinals,1.085,1,0.6331014685485579,0.1534851615941214,108.5,0.4796163069544364,10,Arizona Cardinals,0.5164669703937078,0.5222151011688324,0.48647893875889636,-114.0,-115.0,107.0,95387.72727272728,11,26.496590909090912,False,True,True,0.11663449815485005,0.11088636737972546,0.1466225297896615,-172.55492030562866,0.005748130775124594,-0.035736162409936045,-0.02998803163481145,1.0,1
2024_10_Lions_Texans,2024,10,2024-11-10,Texans,Lions,Lions,0.5524861878453039,1,0.7261464499226566,0.082018336043653,-181.0,0.6441281138790036,10,Detroit Lions,,,,,,,,0,,False,False,False,,,,-265.1586768612545,,,,3.0,1
2024_11_Browns_Saints,2024,11,2024-11-17,Saints,Browns,Saints,1.05,1,0.6685876459720749,0.1807827679232944,105.0,0.4878048780487805,10,New Orleans Saints,0.5368940324204623,0.5418527390536276,0.5084399614477706,-120.0,-115.0,103.5,112393.35714285714,14,31.220376984126986,False,True,True,0.13169361355161258,0.12673490691844724,0.16014768452430428,-201.73890256237672,0.004958706633165333,-0.033412777605857036,-0.028454070972691703,1.0,1
2024_11_Rams_Patriots,2024,11,2024-11-17,Patriots,Rams,Rams,0.4842615012106537,1,0.7764676207831509,0.1027318948451411,-206.5,0.6737357259380098,10,Los Angeles Rams,0.7068389992906992,0.7014239895638915,0.69162424466992,-254.0,-225.0,-210.0,112393.35714285714,14,31.220376984126986,False,True,True,0.06962862149245175,0.07504363121925939,0.0848433761132309,-347.36248211714263,-0.00541500972680764,-0.009799744893971507,-0.015214754620779147,2.0,1
2024_11_Ravens_Steelers,2024,11,2024-11-17,Steelers,Ravens,Ravens,-1.0,0,0.7266353533589146,0.0902717169952782,-175.0,0.6363636363636364,10,Baltimore Ravens,0.6310896453563044,0.6347499746470884,0.6350637437111541,-175.0,-174.5,-175.0,93871.83333333333,12,26.07550925925926,False,True,True,0.0955457080026102,0.09188537871182623,0.09157160964776045,-265.8117508197583,0.00366032929078397,0.000313769064065772,0.003974098354849742,3.0,0
2024_12_Cardinals_Seahawks,2024,12,2024-11-24,Seahawks,Cardinals,Seahawks,0.8928571428571429,1,0.6258618228051265,0.0975599360126736,-112.0,0.5283018867924528,7,Seattle Seahawks,0.5548645659850798,0.5273138516838628,0.527292513105541,-116.0,-111.0,-112.0,45497.57142857143,7,12.638214285714286,True,True,True,0.07099725682004665,0.09854797112126368,0.09856930969958544,-167.28093013591078,-0.027550714301217027,-2.1338578321761226e-05,-0.02757205287953879,3.0,1
2024_12_Eagles_Rams,2024,12,2024-11-24,Rams,Eagles,Eagles,0.6557377049180327,1,0.7421620134048525,0.1382016173652486,-152.5,0.6039603960396039,10,Philadelphia Eagles,,,,,,,,0,,False,False,False,,,,-287.8404470983486,,,,2.0,1
2024_12_Ravens_Chargers,2024,12,2024-11-25,Chargers,Ravens,Ravens,0.6711409395973155,1,0.7818808794450104,0.1834873051478216,-149.0,0.5983935742971888,10,Baltimore Ravens,,,,,,,,0,,False,False,False,,,,-358.4650797488851,,,,1.0,1
2024_13_Cardinals_Vikings,2024,13,2024-12-01,Vikings,Cardinals,Vikings,0.5747126436781609,1,0.7693131723511412,0.1342766760007762,-174.0,0.635036496350365,10,Minnesota Vikings,0.6539762101880344,0.6438213206859822,0.6352481617522983,-195.0,-179.0,-174.0,7461.0,10,2.0725,True,True,True,0.11533696216310674,0.12549185166515897,0.1340650105988429,-333.48812335403704,-0.010154889502052233,-0.008573158933683933,-0.018728048435736167,1.0,1
2024_13_Colts_Patriots,2024,13,2024-12-01,Patriots,Colts,Colts,0.7142857142857143,1,0.7103742509729324,0.127040917639599,-140.0,0.5833333333333334,10,Indianapolis Colts,0.6050608084586739,0.6018809674407397,0.5812161162479167,-153.0,-150.0,-140.0,7461.0,10,2.0725,True,True,True,0.10531344251425845,0.10849328353219267,0.1291581347250157,-245.27316834199806,-0.0031798410179342262,-0.02066485119282302,-0.023844692210757246,2.0,1
2024_13_Dolphins_Packers,2024,13,2024-11-28,Packers,Dolphins,Packers,0.5555555555555556,1,0.7495564769313402,0.1066993340741973,-180.0,0.6428571428571429,10,Green Bay Packers,,,,,,,,0,,False,False,False,,,,-299.29161982194574,,,,3.0,1
2024_14_Bears_49ers,2024,14,2024-12-08,49ers,Bears,49ers,0.6042296072507553,1,0.8262663830548393,0.2029142173297923,-165.5,0.623352165725047,10,San Francisco 49ers,0.7036099671208572,0.6830497663041489,0.6494399983058213,-260.0,-205.0,-169.0,119467.92307692308,13,33.18553418803419,False,True,True,0.12265641593398213,0.14321661675069042,0.17682638474901802,-475.5938416430091,-0.020560200816708285,-0.0336097679983276,-0.054169968815035885,1.0,1
2024_14_Chargers_Chiefs,2024,14,2024-12-08,Chiefs,Chargers,Chiefs,0.4761904761904761,1,0.8033719420752656,0.125952587236556,-210.0,0.6774193548387096,10,Kansas City Chiefs,,,,,,,,0,,False,False,False,,,,-408.57441738186816,,,,2.0,1
2024_14_Falcons_Vikings,2024,14,2024-12-08,Vikings,Falcons,Vikings,0.3539823008849557,1,0.8363931555124408,0.0978310640091727,-282.5,0.738562091503268,10,Minnesota Vikings,0.6846838259903184,0.7115752931135557,0.726172584112429,-227.5,-249.0,-272.5,130907.42857142857,14,36.3631746031746,False,False,True,0.15170932952212235,0.12481786239888504,0.11022057140001174,-511.2213722672468,0.02689146712323731,0.014597290998873302,0.041488758122110614,3.0,1
2024_15_Colts_Broncos,2024,15,2024-12-15,Broncos,Colts,Broncos,0.4651162790697674,1,0.7788358285917101,0.0962961460520275,-215.0,0.6825396825396826,10,Denver Broncos,0.6569183203431536,0.6632579285675388,0.6761352897841227,-205.0,-198.0,-212.5,118521.0,14,32.9225,False,True,True,0.12191750824855652,0.11557790002417123,0.10270053880758734,-352.1528028850142,0.006339608224385285,0.012877361216583894,0.019216969440969178,3.0,1
2024_15_Packers_Seahawks,2024,15,2024-12-15,Seahawks,Packers,Packers,0.6968641114982579,1,0.7409840966386405,0.1516617147084556,-143.5,0.5893223819301848,10,Green Bay Packers,,,,,,,,0,,False,False,False,,,,-286.07667985732724,,,,1.0,1
2024_15_Steelers_Eagles,2024,15,2024-12-15,Eagles,Steelers,Eagles,0.4,1,0.8513722797749825,0.1370865654892682,-250.0,0.7142857142857143,10,Philadelphia Eagles,0.6908770776150023,0.6998085867346545,0.7115915396878674,-222.5,-235.0,-247.5,118521.0,14,32.9225,False,True,True,0.16049520215998025,0.15156369304032802,0.13978074008711516,-572.8220001531565,0.008931509119652237,0.011782952953212855,0.020714462072865092,2.0,1
2024_16_Rams_Jets,2024,16,2024-12-22,Jets,Rams,Rams,0.6211180124223602,1,0.7501974754584007,0.1333392379105079,-161.0,0.6168582375478927,10,Los Angeles Rams,0.5908404508976802,0.6290235287040774,0.6117711055447197,-164.5,-170.0,-161.0,100050.71428571429,14,27.79186507936508,False,True,True,0.15935702456072043,0.12117394675432325,0.13842636991368096,-300.31621050870166,0.03818307780639718,-0.01725242315935771,0.02093065464703947,1.0,1
2024_16_Titans_Colts,2024,16,2024-12-22,Colts,Titans,Colts,0.5037783375314862,1,0.7758539311989937,0.1108623064083739,-198.5,0.6649916247906198,10,Indianapolis Colts,0.6828344972190012,0.6614298795577707,0.6637836368996068,-215.0,-194.5,-198.5,1483512.0,12,412.08666666666664,False,False,False,0.09301943397999246,0.11442405164122305,0.11207029429938686,-346.13764825283897,-0.021404617661230585,0.0023537573418361823,-0.019050860319394403,2.0,1
2024_16_Vikings_Seahawks,2024,16,2024-12-22,Seahawks,Vikings,Vikings,0.7299270072992701,1,0.6699600215633336,0.0919009498333757,-137.0,0.5780590717299579,10,Minnesota Vikings,0.6084664571135188,0.627932581214811,0.6051936599271517,-160.0,-166.5,-141.5,634199.5,16,176.1665277777778,False,False,False,0.0614935644498148,0.04202744034852257,0.06476636163618188,-202.99359633242028,0.019466124101292226,-0.02273892128765931,-0.0032727971863670824,3.0,1
2024_17_Chiefs_Steelers,2024,17,2024-12-25,Steelers,Chiefs,Chiefs,0.6968641114982579,1,0.7573870686626517,0.1680646867324668,-143.5,0.5893223819301848,10,Kansas City Chiefs,0.6371279576987846,0.5860202576984697,0.5858237236227426,-145.0,-145.0,-143.5,77760.0,10,21.6,True,True,True,0.1202591109638671,0.17136681096418205,0.1715633450399091,-312.17918372599877,-0.05110770000031495,-0.00019653407572706172,-0.05130423407604201,2.0,1
2024_17_Dolphins_Browns,2024,17,2024-12-29,Browns,Dolphins,Dolphins,0.5555555555555556,1,0.753692812682365,0.110835669825222,-180.0,0.6428571428571429,10,Miami Dolphins,0.6895205266424257,0.6969877359587077,0.6850406874370705,-220.0,-239.0,-215.0,162975.3,20,45.270916666666665,False,False,True,0.0641722860399393,0.05670507672365732,0.06865212524529452,-305.99708473403626,0.007467209316281975,-0.011947048521637194,-0.004479839205355218,3.0,1
2024_17_Falcons_Commanders,2024,17,2024-12-29,Commanders,Falcons,Commanders,0.5405405405405406,1,0.8227725173671436,0.1736497103495997,-185.0,0.6491228070175439,10,Washington Commanders,0.4524979524979525,0.4524979524979525,0.4524979524979525,121.0,121.0,121.0,9468262.0,2,2630.072777777778,False,False,False,0.37027456486919114,0.37027456486919114,0.37027456486919114,-464.2465745967827,0.0,0.0,0.0,1.0,1
2024_18_Bengals_Steelers,2024,18,2025-01-04,Steelers,Bengals,Bengals,0.7142857142857143,1,0.7629276409307634,0.17959430759743,-140.0,0.5833333333333334,10,Cincinnati Bengals,,,,,,,,0,,False,False,False,,,,-321.8121437379174,,,,1.0,1
2024_18_Giants_Eagles,2024,18,2025-01-05,Eagles,Giants,Eagles,0.7142857142857143,1,0.7426960798175002,0.1593627464841668,-140.0,0.5833333333333334,10,Philadelphia Eagles,0.6287180657334036,0.637012784544441,0.608606176684993,-166.0,-175.0,-146.0,89343.05263157895,19,24.817514619883042,False,True,True,0.11397801408409658,0.1056832952730592,0.13408990313250724,-288.6454583710667,0.008294718811037383,-0.02840660785944804,-0.02011188904841066,3.0,1
2024_18_Texans_Titans,2024,18,2025-01-05,Titans,Texans,Titans,-1.0,0,0.7404692050575741,0.1752518137532263,-130.0,0.5652173913043478,10,Tennessee Titans,0.5988463626542676,0.6018615769937189,0.6182094214363976,-130.0,-130.0,-142.0,123365.63157894737,19,34.26823099415205,False,True,True,0.14162284240330647,0.13860762806385518,0.12225978362117651,-285.3107297813499,0.0030152143394512887,0.016347844442678672,0.01936305878212996,2.0,0
2024_19_Chargers_Texans,2024,19,2025-01-11,Texans,Chargers,Chargers,-1.0,0,0.6916926998190818,0.0838495625641798,-155.0,0.6078431372549019,10,Los Angeles Chargers,0.6142946471553866,0.6125072311973231,0.6074634230869068,-160.0,-160.0,-155.0,20122.0,10,5.589444444444444,True,True,True,0.07739805266369515,0.07918546862175868,0.08422927673217495,-224.35170993784078,-0.0017874159580635318,-0.00504380811041627,-0.006831224068479802,2.0,0
2024_19_Packers_Eagles,2024,19,2025-01-12,Eagles,Packers,Eagles,0.3846153846153846,1,0.8530993923055802,0.1308771700833579,-260.0,0.7222222222222222,10,Philadelphia Eagles,0.7019215912388403,0.6868391997429811,0.7109510614129518,-250.0,-225.0,-260.0,42534.63636363636,11,11.815176767676768,True,True,True,0.15117780106673984,0.16626019256259905,0.14214833089262835,-580.7323779627809,-0.015082391495859215,0.024111861669970702,0.009029470174111487,1.0,1
2024_19_Vikings_Rams,2024,19,2025-01-13,Rams,Vikings,Rams,1.215,1,0.5320959677232476,0.0806286991002228,121.5,0.4514672686230248,10,Los Angeles Rams,,,,,,,,0,,False,False,False,,,,-113.71903873838119,,,,3.0,1
2024_1_Panthers_Saints,2024,1,2024-09-08,Saints,Panthers,Saints,0.5235602094240838,1,0.8145467460170586,0.1581893577009073,-191.0,0.6563573883161512,10,New Orleans Saints,0.6765932130080079,0.6736044864670976,0.6595373241063214,-210.0,-205.0,-191.0,3862.0,10,1.0727777777777778,True,True,True,0.13795353300905067,0.14094225954996098,0.1550094219107372,-439.21944130027674,-0.0029887265409103136,-0.014067162360776209,-0.017055888901686522,1.0,1
2024_1_Raiders_Chargers,2024,1,2024-09-08,Chargers,Raiders,Chargers,0.6430868167202572,1,0.7098605906107321,0.101250023096055,-155.5,0.6086105675146771,10,Los Angeles Chargers,0.6320940121891448,0.6190275165361045,0.6097954364075697,-170.0,-160.0,-155.5,14962.0,10,4.1561111111111115,True,True,True,0.0777665784215873,0.0908330740746276,0.10006515420316242,-244.66189963816396,-0.0130664956530403,-0.009232080128534825,-0.022298575781575125,3.0,1
2024_1_Titans_Bears,2024,1,2024-09-08,Bears,Titans,Bears,0.4889975550122249,1,0.7797424194148256,0.1081496443737747,-204.5,0.6715927750410509,10,Chicago Bears,0.6696828611330922,0.6629452519833061,0.6690488181971083,-205.0,-193.5,-204.5,3862.0,10,1.0727777777777778,True,True,True,0.11005955828173342,0.11679716743151947,0.11069360121771732,-354.01388562574186,-0.00673760914978605,0.006103566213802147,-0.0006340429359839028,2.0,1
2024_20_Rams_Eagles,2024,20,2025-01-19,Eagles,Rams,Eagles,0.3149606299212598,1,0.7576481263125585,-0.0028309156036091,-317.5,0.7604790419161677,10,Philadelphia Eagles,0.7329052679347877,0.739544060011344,0.7642999056991432,-265.0,-278.0,-320.0,49762.0,12,13.822777777777778,True,True,True,0.024742858377770793,0.018104066301214528,-0.0066517793865846775,-312.6231766995492,0.006638792076556266,0.024755845687799205,0.03139463776435547,1.0,1
2024_20_Rams_Eagles,2024,20,2025-01-19,Eagles,Rams,Rams,-1.0,0,0.2423518736874413,-0.0354259040903364,260.0,0.2777777777777778,10,Los Angeles Rams,0.30732866388065994,0.3014060400646467,0.2767388985351794,225.0,226.5,260.0,49762.0,12,13.822777777777778,True,True,True,-0.06497679019321864,-0.059054166377205425,-0.03438702484773812,312.62317669954956,-0.005922623816013217,-0.024667141529467307,-0.030589765345480524,2.0,0
2024_20_Texans_Chiefs,2024,20,2025-01-18,Chiefs,Texans,Chiefs,0.1951219512195122,1,0.76279605165491,-0.073938642222641,-512.5,0.8367346938775511,10,Kansas City Chiefs,0.8182279341661494,0.8246742857637488,0.8371501530100838,-457.5,-480.0,-512.5,20062.0,10,5.572777777777778,True,True,True,-0.05543188251123932,-0.06187823410883875,-0.07435410135517373,-321.57814276564073,0.006446351597599431,0.012475867246334982,0.018922218843934413,3.0,1
2024_21_Bills_Chiefs,2024,21,2025-01-26,Chiefs,Bills,Chiefs,0.7692307692307693,1,0.6331492419935807,0.0679318506892329,-130.0,0.5652173913043478,10,Kansas City Chiefs,0.5551375163709966,0.5626689671322223,0.5626737516197654,-125.0,-130.0,-130.0,27262.0,10,7.572777777777778,True,True,True,0.07801172562258407,0.07048027486135844,0.07047549037381529,-172.59041399677346,0.007531450761225633,4.784487543152416e-06,0.007536235248768786,1.0,1
2024_21_Commanders_Eagles,2024,21,2025-01-26,Eagles,Commanders,Commanders,-1.0,0,0.2113697123662779,-0.0916605906640251,230.0,0.303030303030303,10,Washington Commanders,0.3244870146236382,0.29843458975516735,0.30273676366616314,212.5,232.0,230.0,14662.0,10,4.072777777777778,True,True,True,-0.1131173022573603,-0.08706487738888943,-0.09136705129988523,373.1046793814632,-0.02605242486847087,0.004302173910995799,-0.02175025095747507,3.0,0
2024_21_Commanders_Eagles,2024,21,2025-01-26,Eagles,Commanders,Eagles,0.3508771929824561,1,0.7886302876337227,0.0483705473739823,-285.0,0.7402597402597403,10,Philadelphia Eagles,0.716811778102757,0.7431808364853001,0.7388306252929837,-252.5,-290.0,-285.0,14662.0,10,4.072777777777778,True,True,True,0.07181850953096569,0.04544945114842258,0.04979966234073896,-373.10467938146445,0.02636905838254311,-0.004350211192316378,0.02201884719022673,2.0,1
2024_22_Chiefs_Eagles,2024,22,2025-02-09,Eagles,Chiefs,Chiefs,-1.0,0,0.4579865840325653,-0.0779762929975971,-115.5,0.5359628770301624,10,Kansas City Chiefs,0.5579604018727473,0.5520703582902253,0.5498524029600648,-127.0,-123.0,-123.0,373012.0,20,103.61444444444444,False,False,False,-0.099973817840182,-0.09408377425766001,-0.09186581892749945,118.34700728458338,-0.0058900435825219866,-0.0022179553301605592,-0.008107998912682546,2.0,0
2024_22_Chiefs_Eagles,2024,22,2025-02-09,Eagles,Chiefs,Eagles,0.9803921568627452,1,0.5420134159674346,0.0370629209179296,-102.0,0.504950495049505,10,Philadelphia Eagles,0.4840346435768005,0.49092861684175115,0.4936050269731366,107.0,103.5,103.0,373012.0,20,103.61444444444444,False,False,False,0.05797877239063409,0.05108479912568342,0.048408388994298,-118.34700728458334,0.00689397326495067,0.0026764101313854205,0.00957038339633609,1.0,1
2024_2_Colts_Packers,2024,2,2024-09-15,Packers,Colts,Packers,1.19,1,0.8028846918701226,0.3462636873039125,119.0,0.45662100456621,10,Green Bay Packers,0.563526882013825,0.4084247589094837,0.45833939571713167,-200.5,145.5,119.0,3861.0,10,1.0725,True,True,True,0.23935780985629762,0.39445993296063886,0.3445452961529909,-407.31727002202655,-0.15510212310434124,0.04991463680764796,-0.10518748629669328,1.0,1
2024_2_Seahawks_Patriots,2024,2,2024-09-15,Patriots,Seahawks,Seahawks,0.5970149253731343,1,0.7141789732119047,0.0880107489128393,-167.5,0.6261682242990654,10,Seattle Seahawks,0.6372731653010816,0.6464222653448177,0.6344580868050194,-182.5,-183.0,-175.0,47091.5,20,13.080972222222222,True,True,True,0.07690580791082313,0.06775670786708698,0.07972088640688535,-249.8692910166436,0.009149100043736147,-0.011964178539798365,-0.0028150784960622177,3.0,1
2024_2_Steelers_Broncos,2024,2,2024-09-15,Broncos,Steelers,Steelers,0.6666666666666666,1,0.7396819835502367,0.1396819835502367,-150.0,0.6,10,Pittsburgh Steelers,0.6169273689884358,0.6104013083965107,0.607587041088478,-155.0,-155.5,-155.0,59391.5,20,16.49763888888889,True,True,True,0.12275461456180092,0.129280675153726,0.13209494246175868,-284.1455207895617,-0.006526060591925065,-0.002814267308032692,-0.009340327899957757,2.0,1
2024_3_Chiefs_Falcons,2024,3,2024-09-22,Falcons,Chiefs,Chiefs,0.6116207951070336,1,0.7478266723230279,0.1273333136892518,-163.5,0.6204933586337761,10,Kansas City Chiefs,,,,,,,,0,,False,False,False,,,,-296.55264464803975,,,,3.0,1
2024_3_Eagles_Saints,2024,3,2024-09-22,Saints,Eagles,Eagles,1.2,1,0.7357356762256104,0.2811902216801559,120.0,0.4545454545454545,10,Philadelphia Eagles,0.5295788326104823,0.44296856692984565,0.4476846091365705,-120.0,128.0,122.0,45298.89473684211,19,12.583026315789475,True,True,True,0.2061568436151281,0.29276710929576477,0.28805106708903994,-278.40900569451446,-0.08661026568063668,0.004716042206724835,-0.08189422347391184,1.0,1
