game_id,open_home_ml,open_away_ml,closing_home_ml,closing_away_ml,open_home_books,open_away_books,closing_home_books,closing_away_books,open_favorite_side,closing_favorite_side,open_favorite_odds,closing_favorite_odds,open_dog_odds,closing_dog_odds,open_favorite_strength,closing_favorite_strength,favorite_strength_delta,favorite_flip,home_ml_move,away_ml_move,home_implied_move,away_implied_move,market_pressure_side
2025_4_Browns_Lions,-500.0,367.0,-550.0,410.0,11,11,11,11,home,home,-500.0,-550.0,367.0,410.0,0.6192005710206996,0.6500754147812972,0.03087484376059757,0.0,-50.0,43.0,0.012820512820512775,-0.018054330940084823,home
2025_4_Chargers_Giants,219.0,-265.0,240.0,-300.0,11,11,11,11,away,away,-265.0,-300.0,219.0,240.0,0.41254777343582255,0.45588235294117646,0.04333457950535391,0.0,21.0,-35.0,-0.019361976765627897,0.023972602739726012,away
2025_4_Colts_Rams,-220.0,176.0,-190.0,158.0,11,11,11,11,home,home,-220.0,-190.0,176.0,158.0,0.32518115942028986,0.2675755145682972,-0.057605644851992654,0.0,30.0,-18.0,-0.032327586206896575,0.02527805864509608,away
2025_4_Commanders_Falcons,120.0,-145.0,-150.0,125.0,11,11,11,11,away,home,-145.0,-150.0,120.0,125.0,0.137291280148423,0.15555555555555556,0.018264275407132546,1.0,-270.0,270.0,0.14545454545454545,-0.14739229024943312,home
2025_4_Eagles_Buccaneers,130.0,-160.0,165.0,-195.0,11,11,11,11,away,away,-160.0,-195.0,130.0,165.0,0.18060200668896326,0.2836584585865046,0.10305645189754137,0.0,35.0,-35.0,-0.0574241181296144,0.04563233376792697,away
2025_4_Jaguars_49ers,-185.0,157.0,-175.0,145.0,11,11,11,11,home,home,-185.0,-175.0,157.0,145.0,0.2600177486517851,0.2282003710575139,-0.03181737759427122,0.0,10.0,-12.0,-0.012759170653907526,0.019058206940363698,away
2025_4_Jets_Dolphins,-148.0,125.0,-150.0,126.0,11,11,11,11,home,home,-148.0,-150.0,125.0,126.0,0.1523297491039427,0.15752212389380527,0.005192374789862564,0.0,-2.0,1.0,0.003225806451612856,-0.001966568338249708,home
2025_4_Packers_Cowboys,198.0,-245.0,267.0,-330.0,11,11,11,11,away,away,-245.0,-330.0,198.0,267.0,0.3745744577375742,0.49496229643241874,0.12038783869484454,0.0,69.0,-85.0,-0.06309090576596016,0.05729693292888438,away
2025_4_Panthers_Patriots,-250.0,197.0,-245.0,200.0,11,11,11,11,home,home,-250.0,-245.0,197.0,200.0,0.3775853775853776,0.3768115942028986,-0.0007737833824789653,0.0,5.0,3.0,-0.0041407867494823725,-0.003367003367003407,none_or_unclear
2025_4_Ravens_Chiefs,118.0,-145.0,125.0,-150.0,11,11,11,11,away,away,-145.0,-150.0,118.0,125.0,0.1331211383636023,0.15555555555555556,0.02243441719195327,0.0,7.0,-5.0,-0.014271151885830835,0.008163265306122436,away
2025_4_Saints_Bills,-1600.0,750.0,-1400.0,817.0,11,11,11,11,home,home,-1600.0,-1400.0,750.0,817.0,0.8235294117647058,0.8242820792439113,0.0007526674792054378,0.0,200.0,67.0,-0.007843137254901933,-0.008595804734107385,none_or_unclear
2025_4_Seahawks_Cardinals,-136.0,110.0,107.0,-127.0,11,11,11,11,home,away,-136.0,-127.0,110.0,107.0,0.10008071025020182,0.07637957819915303,-0.02370113205104879,1.0,243.0,-237.0,-0.09317939900106448,0.08328088944829037,away
2025_4_Titans_Texans,-350.0,280.0,-390.0,300.0,11,11,11,11,home,home,-350.0,-390.0,280.0,300.0,0.5146198830409356,0.5459183673469388,0.03129848430600313,0.0,-40.0,20.0,0.01814058956916098,-0.01315789473684209,home
2025_4_Vikings_Steelers,100.0,-125.0,118.0,-143.0,11,11,11,11,away,away,-125.0,-143.0,100.0,118.0,0.05555555555555558,0.12976176992486876,0.07420621436931318,0.0,18.0,-18.0,-0.041284403669724745,0.03292181069958844,away
2025_5_49ers_Rams,-162.0,132.0,-455.0,350.0,11,11,11,11,home,home,-162.0,-455.0,132.0,350.0,0.18728612792840227,0.5975975975975976,0.4103114696691953,0.0,-293.0,218.0,0.20149920913279684,-0.20881226053639845,home
2025_5_Broncos_Eagles,-235.0,190.0,-225.0,185.0,11,11,11,11,home,home,-235.0,-225.0,190.0,185.0,0.3566649511065363,0.34143049932523617,-0.015234451781300118,0.0,10.0,-5.0,-0.009184845005740572,0.006049606775559546,away
2025_5_Buccaneers_Seahawks,-165.0,140.0,-190.0,162.0,11,11,11,11,home,home,-165.0,-190.0,140.0,162.0,0.20597484276729555,0.2734930244801263,0.06751818171283075,0.0,-25.0,22.0,0.03253090435914119,-0.03498727735368956,home
2025_5_Chiefs_Jaguars,150.0,-175.0,165.0,-200.0,11,11,11,11,away,away,-175.0,-200.0,150.0,165.0,0.23636363636363633,0.28930817610062887,0.052944539736992535,0.0,15.0,-25.0,-0.02264150943396226,0.030303030303030276,away
2025_5_Commanders_Chargers,-150.0,125.0,-155.0,134.0,11,11,11,11,home,home,-150.0,-155.0,125.0,134.0,0.15555555555555556,0.18049270990447458,0.02493715434891902,0.0,-5.0,9.0,0.007843137254901933,-0.01709401709401709,home
2025_5_Cowboys_Jets,115.0,-135.0,-107.0,-120.0,11,11,11,11,away,away,-135.0,-120.0,115.0,-107.0,0.1093518060366156,0.028546332894158977,-0.08080547314245662,0.0,-222.0,15.0,0.051791933490619,-0.029013539651837617,home
2025_5_Dolphins_Panthers,105.0,-125.0,100.0,-120.0,11,11,11,11,away,away,-125.0,-120.0,105.0,100.0,0.0677506775067751,0.045454545454545414,-0.02229613205222969,0.0,-5.0,5.0,0.012195121951219523,-0.010101010101010166,home
2025_5_Giants_Saints,-102.0,-118.0,-130.0,108.0,11,11,11,11,away,home,-118.0,-130.0,-102.0,108.0,0.03633390862021979,0.084448160535117,0.04811425191489721,1.0,-28.0,226.0,0.06026689625484283,-0.06051517290049396,home
2025_5_Lions_Bengals,290.0,-385.0,430.0,-600.0,11,11,11,11,away,away,-385.0,-600.0,290.0,430.0,0.5374041765794343,0.6684636118598382,0.13105943528040387,0.0,140.0,-215.0,-0.0677310111272375,0.06332842415316642,away
2025_5_Patriots_Bills,-425.0,330.0,-450.0,350.0,11,11,11,11,home,home,-425.0,-450.0,330.0,350.0,0.5769656699889258,0.595959595959596,0.018993925970670178,0.0,-25.0,20.0,0.008658008658008698,-0.010335917312661508,home
2025_5_Raiders_Colts,-295.0,225.0,-360.0,289.0,11,11,11,11,home,home,-295.0,-360.0,225.0,289.0,0.43914313534566696,0.5255392869118141,0.0863961515661471,0.0,-65.0,64.0,0.03577325261419928,-0.050622898951947826,home
2025_5_Texans_Ravens,-350.0,260.0,115.0,-140.0,11,11,11,11,home,away,-350.0,-140.0,260.0,115.0,0.5,0.11821705426356593,-0.38178294573643407,1.0,465.0,-400.0,-0.31266149870801035,0.3055555555555556,away
2025_5_Titans_Cardinals,-500.0,375.0,-440.0,330.0,11,11,11,11,home,home,-500.0,-440.0,375.0,330.0,0.6228070175438597,0.5822566752799311,-0.04055034226392862,0.0,60.0,-45.0,-0.0185185185185186,0.022031823745410045,away
2025_5_Vikings_Browns,180.0,-235.0,165.0,-199.0,11,11,11,11,away,away,-235.0,-199.0,180.0,165.0,0.3443496801705757,0.2881933488988452,-0.05615633127173053,0.0,-15.0,36.0,0.020215633423180612,-0.03594069784854992,home
2025_6_49ers_Buccaneers,-160.0,132.0,-183.0,150.0,11,11,11,11,home,home,-160.0,-183.0,132.0,150.0,0.18435013262599476,0.24664310954063606,0.06229297691464131,0.0,-23.0,18.0,0.031258494156020666,-0.03103448275862064,home
2025_6_Bears_Commanders,-215.0,180.0,-250.0,203.0,11,11,11,11,home,home,-215.0,-250.0,180.0,203.0,0.3253968253968254,0.38425271098538427,0.058855885588558865,0.0,-35.0,23.0,0.031746031746031744,-0.02710985384252712,home
2025_6_Bengals_Packers,-1100.0,640.0,-1250.0,750.0,11,11,11,11,home,home,-1100.0,-1250.0,640.0,750.0,0.7815315315315314,0.8082788671023965,0.02674733557086506,0.0,-150.0,110.0,0.0092592592592593,-0.017488076311605733,home
2025_6_Bills_Falcons,170.0,-235.0,172.0,-205.0,11,11,11,11,away,away,-235.0,-205.0,170.0,172.0,0.3311221669430625,0.30448408871745414,-0.026638078225608375,0.0,2.0,30.0,-0.002723311546840912,-0.029361389772449287,none_or_unclear
2025_6_Broncos_Jets,240.0,-300.0,300.0,-380.0,11,11,11,11,away,away,-300.0,-380.0,240.0,300.0,0.45588235294117646,0.5416666666666666,0.08578431372549017,0.0,60.0,-80.0,-0.04411764705882354,0.04166666666666663,away
2025_6_Browns_Steelers,-255.0,200.0,-295.0,240.0,11,11,11,11,home,home,-255.0,-295.0,200.0,240.0,0.3849765258215963,0.4527177959791511,0.06774127015755482,0.0,-40.0,40.0,0.028525583883045047,-0.039215686274509776,home
2025_6_Cardinals_Colts,-220.0,180.0,-459.0,350.0,11,11,11,11,home,home,-220.0,-459.0,180.0,350.0,0.33035714285714285,0.5988869012124827,0.2685297583553398,0.0,-239.0,170.0,0.13360912343470488,-0.13492063492063494,home
2025_6_Chargers_Dolphins,183.0,-220.0,165.0,-200.0,11,11,11,11,away,away,-220.0,-200.0,183.0,165.0,0.33414310954063603,0.28930817610062887,-0.04483493344000716,0.0,-18.0,20.0,0.024001600106673793,-0.02083333333333337,home
2025_6_Cowboys_Panthers,157.0,-190.0,136.0,-160.0,11,11,11,11,away,away,-190.0,-160.0,157.0,136.0,0.26606735542734467,0.1916558018252934,-0.07441155360205126,0.0,-21.0,30.0,0.034623755193563255,-0.039787798408488007,home
2025_6_Eagles_Giants,300.0,-385.0,320.0,-420.0,11,11,11,11,away,away,-385.0,-420.0,300.0,320.0,0.5438144329896907,0.5695970695970696,0.025782636607378895,0.0,20.0,-35.0,-0.011904761904761918,0.013877874702617032,away
2025_6_Lions_Chiefs,-120.0,-103.0,-140.0,118.0,11,11,11,11,home,home,-120.0,-140.0,-103.0,118.0,0.03806538289296901,0.12461773700305812,0.0865523541100891,0.0,-20.0,221.0,0.037878787878787956,-0.048673566231301146,home
2025_6_Patriots_Saints,155.0,-195.0,155.0,-185.0,11,11,11,11,away,away,-195.0,-185.0,155.0,155.0,0.26886008640744435,0.25696594427244585,-0.011894142134998509,0.0,0.0,10.0,0.0,-0.011894142134998509,none_or_unclear
2025_6_Rams_Ravens,310.0,-400.0,285.0,-360.0,11,11,11,11,away,away,-400.0,-360.0,310.0,285.0,0.5560975609756098,0.5228684359119142,-0.033229125063695575,0.0,-25.0,40.0,0.015837820715869477,-0.017391304347826098,home
2025_6_Seahawks_Jaguars,-120.0,-104.0,-105.0,-115.0,11,11,11,11,home,away,-120.0,-115.0,-104.0,-105.0,0.035650623885918,0.022688598979012986,-0.012962024906905012,1.0,15.0,-11.0,-0.03325942350332589,0.025079799361605093,away
2025_6_Titans_Raiders,-275.0,225.0,-195.0,161.0,11,11,11,11,home,home,-275.0,-195.0,225.0,161.0,0.42564102564102557,0.2778751867004351,-0.14776583894059048,0.0,80.0,-64.0,-0.0723163841807909,0.07544945475979958,away
2025_7_Buccaneers_Lions,-235.0,190.0,-275.0,225.0,11,11,11,11,home,home,-235.0,-275.0,190.0,225.0,0.3566649511065363,0.42564102564102557,0.06897607453448928,0.0,-40.0,35.0,0.03184079601990042,-0.037135278514588865,home
2025_7_Colts_Chargers,-125.0,105.0,-137.0,115.0,11,11,11,11,home,home,-125.0,-137.0,105.0,115.0,0.0677506775067751,0.11294279266019042,0.04519211515341531,0.0,-12.0,10.0,0.02250351617440227,-0.02268859897901304,home
2025_7_Commanders_Cowboys,118.0,-140.0,-127.0,105.0,11,11,11,11,away,home,-140.0,-127.0,118.0,105.0,0.12461773700305812,0.07166648758998606,-0.052951249413072055,1.0,-245.0,245.0,0.10075576930849128,-0.0955284552845529,home
2025_7_Dolphins_Browns,-145.0,123.0,-144.0,120.0,11,11,11,11,home,home,-145.0,-144.0,123.0,120.0,0.14340624142033492,0.13561847988077497,-0.007787761539559956,0.0,1.0,-3.0,-0.0016728002676480447,0.006114961271911912,away
2025_7_Eagles_Vikings,130.0,-152.0,114.0,-135.0,11,11,11,11,away,away,-152.0,-135.0,130.0,114.0,0.16839199447895098,0.10717836548021481,-0.06121362899873617,0.0,-16.0,17.0,0.03250711093051606,-0.02870651806822011,home
2025_7_Falcons_49ers,-180.0,150.0,-120.0,-102.0,11,11,11,11,home,home,-180.0,-120.0,150.0,-102.0,0.24285714285714288,0.04050405040504046,-0.20235309245210242,0.0,60.0,-252.0,-0.09740259740259749,0.10495049504950493,away
2025_7_Giants_Broncos,-355.0,285.0,-430.0,330.0,11,11,11,11,home,home,-355.0,-430.0,285.0,330.0,0.5204795204795205,0.5787626151820975,0.058283094702576976,0.0,-75.0,45.0,0.03110097449720095,-0.027182120205375998,home
2025_7_Packers_Cardinals,235.0,-285.0,290.0,-375.0,11,11,11,11,away,away,-285.0,-375.0,235.0,290.0,0.44175227757317315,0.5330634278002699,0.0913111502270968,0.0,55.0,-90.0,-0.04209720627631075,0.04921394395078604,away
2025_7_Panthers_Jets,-115.0,-105.0,-108.0,-112.0,11,11,11,11,home,away,-115.0,-112.0,-105.0,-108.0,0.022688598979012986,0.00907111756168355,-0.013617481417329436,1.0,7.0,-7.0,-0.015652951699463236,0.0161067648412333,away
2025_7_Patriots_Titans,220.0,-295.0,240.0,-300.0,11,11,11,11,away,away,-295.0,-300.0,220.0,240.0,0.43433544303797467,0.45588235294117646,0.021546909903201794,0.0,20.0,-5.0,-0.01838235294117646,0.0031645569620253333,away
