game_id,Season,Week,game_date,away_team,home_team,side,closing_odds,model_prob_raw,model_prob_adj,implied_prob,edge_raw,edge,actual_win,profit,books_used
2024_9_Bears_Cardinals,2024,9,2024-11-03,Bears,Cardinals,away,110.0,0.3958818106267445,0.42800527685223716,0.47619047619047616,-0.08030866556373167,-0.048185199338239004,0,-1.0,10
2024_16_Steelers_Ravens,2024,16,2024-12-21,Steelers,Ravens,away,275.0,0.1863453896365915,0.21847390044862158,0.26666666666666666,-0.08032127703007516,-0.04819276621804508,0,-1.0,10
2024_12_Titans_Texans,2024,12,2024-11-24,Titans,Texans,home,-395.0,0.7172133788370136,0.7495199464941273,0.797979797979798,-0.08076641914278437,-0.04845985148567067,0,-1.0,10
2025_1_Giants_Commanders,2025,1,2025-09-07,Giants,Commanders,away,228.0,0.2236745623467162,0.25615595692022486,0.3048780487804878,-0.0812034864337716,-0.04872209186026294,0,-1.0,11
2024_2_Raiders_Ravens,2024,2,2024-09-15,Raiders,Ravens,home,-450.0,0.7364710366934581,0.7691553492888021,0.8181818181818182,-0.08171078148836008,-0.049026468893016095,0,-1.0,10
2024_1_Packers_Eagles,2024,1,2024-09-06,Packers,Eagles,away,109.5,0.3950500244673073,0.4279608022698832,0.477326968973747,-0.08227694450643969,-0.04936616670386379,0,-1.0,10
2025_7_Colts_Chargers,2025,7,2025-10-19,Colts,Chargers,away,115.0,0.3825234580729599,0.4155605864716829,0.46511627906976744,-0.08259282099680754,-0.04955569259808451,1,1.15,11
2024_5_Browns_Commanders,2024,5,2024-10-06,Browns,Commanders,home,-160.0,0.5315546936595635,0.5650866623495843,0.6153846153846154,-0.08382992172505188,-0.05029795303503115,1,0.625,10
2025_6_Broncos_Jets,2025,6,2025-10-12,Broncos,Jets,away,-380.0,0.7072469707371942,0.7410148491089832,0.7916666666666666,-0.0844196959294724,-0.05065181755768344,1,0.2631578947368421,11
2024_17_Panthers_Buccaneers,2024,17,2024-12-29,Panthers,Buccaneers,home,-549.5,0.7611931226647615,0.7951300383409662,0.8460354118552733,-0.08484228919051184,-0.05090537351430713,1,0.18198362147406733,10
2025_17_Jaguars_Colts,2025,17,2025-12-28,Jaguars,Colts,home,195.0,0.2540444863350522,0.2880199121400144,0.3389830508474576,-0.08493856451240539,-0.050963138707443234,0,-1.0,11
