edge_threshold,bets,profit_units,roi,win_rate,avg_edge,avg_model_prob,avg_implied_prob,avg_odds
0.05,22,12.321042525935091,0.5600473875425042,0.8636363636363636,0.1085074071367585,0.6617944107855258,0.5532870036487674,-97.8409090909091
0.08,14,6.075178243558937,0.43394130311135265,0.7857142857142857,0.13111375188234975,0.6790934525986784,0.5479797007163286,-79.85714285714286
0.09,12,4.390222491346548,0.365851874278879,0.75,0.13916077473596714,0.6879644266149807,0.5488036518790136,-73.33333333333333
0.1,10,2.767438341190135,0.2767438341190135,0.7,0.14804684109855565,0.6959751275011309,0.5479282864025753,-63.1
0.12,9,3.767438341190135,0.4186042601322372,0.7777777777777778,0.15227606834486704,0.6989217903878654,0.5466457220429984,-56.0
