Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2017,Week 14,2017-12-10,Titans,Cardinals,home,-110,0.9426816394493774,0.5238095238095238,0.4188721156398536,11.177778414784877,19.906990847910546
2017,Week 16,2017-12-24,Bills,Patriots,home,-110,0.9425746979281624,0.5238095238095238,0.4187651741186385,16.574416959194934,52.04265019989628
2018,Week 2,2018-09-17,Seahawks,Bears,home,-110,0.9424003376140268,0.5238095238095238,0.4185908138045029,10.448706969921815,41.36301191401986
2020,Week 10,2020-11-15,Texans,Browns,home,-110,0.9423231587202728,0.5238095238095238,0.418513634910749,10.294003712964386,20.97921555871965
2019,Week 2,2019-09-15,Saints,Rams,home,-110,0.9422174853642606,0.5238095238095238,0.4184079615547368,11.504236519898548,39.3493253203264
2018,Week 5,2018-10-07,Dolphins,Bengals,home,-110,0.9419511078810398,0.5238095238095238,0.4181415840715159,12.131559316372028,39.96302059482954
2020,Week 3,2020-09-27,,Browns,home,-110,0.9407457862351992,0.5238095238095238,0.4169362624256754,12.923358961913625,54.75007699276346
2017,Week 3,2017-09-24,Giants,Eagles,home,-110,0.9406102756707808,0.5238095238095238,0.416800751861257,7.271831804769491,54.28687311199016
2018,Week 17,2018-12-30,Jaguars,Texans,home,-110,0.9389612588554884,0.5238095238095238,0.4151517350459646,13.497213774093623,24.79956419076828
2018,Week 16,2018-12-23,Chiefs,Seahawks,home,-110,0.93875400554437,0.5238095238095238,0.4149444817348462,6.967825325821439,68.05552505331352
2021,Week 6,2021-10-17,Texans,Colts,home,-110,0.9381820902181616,0.5238095238095238,0.4143725664086377,14.854507204506822,34.80810703461563
2021,Week 3,2021-09-27,Eagles,Cowboys,home,-110,0.938076048471026,0.5238095238095238,0.4142665246615021,8.15553001685215,57.06328572125541
2018,Week 1,2018-09-09,Seahawks,Broncos,home,-110,0.9375727458565772,0.5238095238095238,0.4137632220470534,8.54053888762781,52.62734142390055
2019,Week 10,2019-11-10,Panthers,Packers,home,-110,0.9373796525402882,0.5238095238095238,0.4135701287307644,10.33406834460112,40.13652902503878
2020,Week 5,2020-10-11,Eagles,Steelers,home,-110,0.9373542140970283,0.5238095238095238,0.4135446902875045,9.32815209001332,67.18160853413877
2017,Week 12,2017-11-26,Jaguars,Cardinals,home,-110,0.9371689416044412,0.5238095238095238,0.4133594177949173,9.052687897904606,48.142056730852985
