game_id,Season,week_num,Date,AwayTeam,HomeTeam,home_score,away_score,margin,total_points,home_win,away_win,PostSeason
2025_12_Vikings_Packers,2025,12,11/23,Vikings,Packers,0.0,0.0,0.0,0.0,0,0,0
2025_12_Colts_Chiefs,2025,12,11/23,Colts,Chiefs,0.0,0.0,0.0,0.0,0,0,0
2025_12_Seahawks_Titans,2025,12,11/23,Seahawks,Titans,0.0,0.0,0.0,0.0,0,0,0
2025_12_Jaguars_Cardinals,2025,12,11/23,Jaguars,Cardinals,0.0,0.0,0.0,0.0,0,0,0
2025_12_Browns_Raiders,2025,12,11/23,Browns,Raiders,0.0,0.0,0.0,0.0,0,0,0
2025_12_Eagles_Cowboys,2025,12,11/23,Eagles,Cowboys,0.0,0.0,0.0,0.0,0,0,0
2025_12_Falcons_Saints,2025,12,11/23,Falcons,Saints,0.0,0.0,0.0,0.0,0,0,0
2025_12_Buccaneers_Rams,2025,12,11/23,Buccaneers,Rams,0.0,0.0,0.0,0.0,0,0,0
2025_12_Panthers_49ers,2025,12,11/24,Panthers,49ers,0.0,0.0,0.0,0.0,0,0,0
2025_13_Packers_Lions,2025,13,11/27,Packers,Lions,0.0,0.0,0.0,0.0,0,0,0
2025_13_Chiefs_Cowboys,2025,13,11/27,Chiefs,Cowboys,0.0,0.0,0.0,0.0,0,0,0
2025_13_Bengals_Ravens,2025,13,11/27,Bengals,Ravens,0.0,0.0,0.0,0.0,0,0,0
2025_13_Bears_Eagles,2025,13,11/28,Bears,Eagles,0.0,0.0,0.0,0.0,0,0,0
2025_13_Rams_Panthers,2025,13,11/30,Rams,Panthers,0.0,0.0,0.0,0.0,0,0,0
2025_13_49ers_Browns,2025,13,11/30,49ers,Browns,0.0,0.0,0.0,0.0,0,0,0
2025_13_Texans_Colts,2025,13,11/30,Texans,Colts,0.0,0.0,0.0,0.0,0,0,0
2025_13_Saints_Dolphins,2025,13,11/30,Saints,Dolphins,0.0,0.0,0.0,0.0,0,0,0
2025_13_Falcons_Jets,2025,13,11/30,Falcons,Jets,0.0,0.0,0.0,0.0,0,0,0
2025_13_Cardinals_Buccaneers,2025,13,11/30,Cardinals,Buccaneers,0.0,0.0,0.0,0.0,0,0,0
2025_13_Jaguars_Titans,2025,13,11/30,Jaguars,Titans,0.0,0.0,0.0,0.0,0,0,0
2025_13_Vikings_Seahawks,2025,13,11/30,Vikings,Seahawks,0.0,0.0,0.0,0.0,0,0,0
2025_13_Raiders_Chargers,2025,13,11/30,Raiders,Chargers,0.0,0.0,0.0,0.0,0,0,0
