game_id,Season,Week,game_date,home_team_bet,away_team_bet,selected_team,profit,actual_win,model_prob,edge,closing_odds,implied_prob,books_used,selected_team_full,open_prob,mid_prob,close_prob,open_price,mid_price,close_price,mid_diff_seconds,match_rows,mid_diff_hours,mid_valid_24h,mid_valid_36h,mid_valid_48h,model_edge_vs_open,model_edge_vs_mid,model_edge_vs_close,true_moneyline,open_to_mid_prob_move,mid_to_close_prob_move,open_to_close_prob_move,edge_rank,hit,join_key,event_id,home_team,away_team,commence_time,book_key,book_title,market_key,outcome_name,open_snapshot_timestamp,open_point,mid_snapshot_timestamp,mid_point,close_snapshot_timestamp,close_point,price_move_open_to_mid,price_move_mid_to_close,price_move_open_to_close,point_move_open_to_mid,point_move_mid_to_close,point_move_open_to_close,season,week,cal_prob,result,picked_odds,move_size_bucket,move_path,close_edge_bucket,market_confirmation,late_drift_flag,positive_close_edge,roi_per_1,cal_prob_source,open_odds,mid_odds,close_odds,market_odds,market_prob,true_prob_raw,true_prob_cal,true_prob_shrunk_35,true_prob_shrunk_40,true_prob_shrunk_50,true_line_raw,true_line_cal,true_line_shrunk_35,true_line_shrunk_40,true_line_shrunk_50,edge_prob_market,edge_prob_open,edge_prob_mid,edge_prob_close,edge_prob_shrunk_35,edge_prob_shrunk_40,edge_prob_shrunk_50,market_decimal,ev_per_1_cal,ev_per_1_shrunk_35,ev_per_1_shrunk_40,ev_per_1_shrunk_50,value_tier,value_tier_shrunk_35,value_tier_shrunk_40,value_tier_shrunk_50,governor,odds_bucket,hybrid_score
2024_1_Panthers_Saints,2024,1,2024-09-08,Saints,Panthers,Saints,0.5235602094240838,1,0.8145467460170586,0.1581893577009073,-191.0,0.6563573883161512,10,New Orleans Saints,0.6774193548387096,0.6721311475409836,0.6563573883161512,-210.0,-205.0,-191.0,3862.0,10,1.0727777777777778,True,True,True,0.1379535330090506,0.1409422595499609,0.1550094219107372,-439.2194413002768,-0.0029887265409103,-0.0140671623607762,-0.0170558889016865,1.0,1,2024|1|2024_1_Panthers_Saints||,,,,,,,,,,,,,,,,,,,,,2024,1,0.8145467460170586,,-210.0,small,steam_down,>0.05,faded_late,normal_late_drift,1,,model_prob_fallback,-210.0,-205.0,-191.0,-210.0,0.6774193548387096,0.8145467460170586,0.8145467460170586,0.7254139417511318,0.7322703113100493,0.7459830504278842,-439.21944130027674,-439.21944130027674,-264.1845497828082,-273.5110606870605,-293.6745172652734,0.13712739117834893,0.13712739117834893,0.142415598476075,0.15818935770090736,0.0479945869124222,0.05485095647133964,0.06856369558917452,1.4761904761904763,0.20242614888232469,0.0708491521088137,0.08097045955292992,0.10121307444116234,Elite,Strong,Elite,Elite,Loose,Medium Favorite,0.2578224478660217
2024_1_Titans_Bears,2024,1,2024-09-08,Bears,Titans,Bears,0.4889975550122249,1,0.7797424194148256,0.1081496443737747,-204.5,0.6715927750410509,10,Chicago Bears,0.6721311475409836,0.6592844974446337,0.6715927750410509,-205.0,-193.5,-204.5,3862.0,10,1.0727777777777778,True,True,True,0.1100595582817334,0.1167971674315194,0.1106936012177173,-354.01388562574186,-0.006737609149786,0.0061035662138021,-0.0006340429359839,2.0,1,2024|1|2024_1_Titans_Bears||,,,,,,,,,,,,,,,,,,,,,2024,1,0.7797424194148256,,-205.0,flat,reversal,>0.05,mixed,normal_late_drift,1,,model_prob_fallback,-205.0,-193.5,-204.5,-205.0,0.6721311475409836,0.7797424194148256,0.7797424194148256,0.7097950926968283,0.7151756562905204,0.7259367834779046,-354.01388562574186,-354.01388562574186,-244.58411103135427,-251.09358525196797,-264.8793197022769,0.10761127187384201,0.10761127187384201,0.1204579219701919,0.10814964437377472,0.0376639451558447,0.0430445087495368,0.053805635936921004,1.4878048780487805,0.16010457522693566,0.05603660132942734,0.06404183009077413,0.08005228761346772,Elite,Strong,Strong,Elite,Tight,Medium Favorite,0.23638266472153568
2024_1_Broncos_Seahawks,2024,1,2024-09-08,Seahawks,Broncos,Seahawks,0.3584229390681003,1,0.8052995912582402,0.0691518340023035,-279.0,0.7361477572559367,10,Seattle Seahawks,0.708029197080292,0.7142857142857143,0.7361477572559367,-242.5,-250.0,-279.0,14962.0,10,4.156111111111112,True,True,True,0.0946076051498564,0.0872400381986872,0.0663261193938385,-413.6096048603301,0.0073675669511692,0.0209139188048486,0.0282814857560178,7.0,1,2024|1|2024_1_Broncos_Seahawks||,,,,,,,,,,,,,,,,,,,,,2024,1,0.8052995912582402,,-242.5,medium,steam_up,>0.05,confirmed,high_late_drift,1,,model_prob_fallback,-242.5,-250.0,-279.0,-242.5,0.708029197080292,0.8052995912582402,0.8052995912582402,0.742073835042574,0.7469373547514713,0.7566643941692661,-413.60960486033014,-413.60960486033014,-287.70785436408227,-295.15907178553203,-310.9550661877274,0.09727039417794825,0.09727039417794825,0.09101387697252594,0.06915183400230351,0.034044637962281965,0.03890815767117928,0.048635197088974125,1.4123711340206184,0.1373818969317413,0.04808366392610952,0.05495275877269634,0.06869094846587065,Elite,Strong,Strong,Strong,Tight,Medium Favorite,0.2321698520834524
2024_1_Cardinals_Bills,2024,1,2024-09-08,Bills,Cardinals,Bills,0.3278688524590163,1,0.8074368577710695,0.0543504380179831,-305.0,0.7530864197530864,10,Buffalo Bills,0.726775956284153,0.75,0.7530864197530864,-266.0,-300.0,-305.0,3862.0,10,1.0727777777777778,True,True,True,0.079988415231365,0.0560656583482443,0.0550607170439639,-419.310179728549,0.0239227568831206,0.0010049413042804,0.024927698187401,9.0,1,2024|1|2024_1_Cardinals_Bills||,,,,,,,,,,,,,,,,,,,,,2024,1,0.8074368577710695,,-266.0,small,steam_up,>0.05,confirmed,normal_late_drift,1,,model_prob_fallback,-266.0,-300.0,-305.0,-266.0,0.726775956284153,0.8074368577710695,0.8074368577710695,0.7550072718045738,0.7590403168789197,0.7671064070276112,-419.310179728549,-419.310179728549,-308.175380292234,-315.00718586914314,-329.38063998976446,0.08066090148691651,0.08066090148691651,0.05743685777106955,0.054350438017983116,0.028231315520420797,0.03226436059476667,0.0403304507434582,1.3759398496240602,0.11098454866244922,0.038844592031857195,0.04439381946497978,0.0554922743312245,Elite,Playable,Strong,Strong,Tight,Medium Favorite,0.22961447424362938
2024_1_Raiders_Chargers,2024,1,2024-09-08,Chargers,Raiders,Chargers,0.6430868167202572,1,0.7098605906107321,0.101250023096055,-155.5,0.6086105675146771,10,Los Angeles Chargers,0.6296296296296297,0.6153846153846154,0.6086105675146771,-170.0,-160.0,-155.5,14962.0,10,4.156111111111112,True,True,True,0.0777665784215873,0.0908330740746276,0.1000651542031624,-244.661899638164,-0.0130664956530403,-0.0092320801285348,-0.0222985757815751,3.0,1,2024|1|2024_1_Raiders_Chargers||,,,,,,,,,,,,,,,,,,,,,2024,1,0.7098605906107321,,-170.0,small,steam_down,>0.05,faded_late,normal_late_drift,1,,model_prob_fallback,-170.0,-160.0,-155.5,-170.0,0.6296296296296297,0.7098605906107321,0.7098605906107321,0.6577104659730155,0.6617220140220706,0.6697451101201809,-244.66189963816396,-244.66189963816396,-192.1503290606498,-195.6148615787384,-202.7964250170235,0.0802309609811025,0.0802309609811025,0.09447597522611673,0.10125002309605502,0.028080836343385873,0.032092384392441,0.04011548049055125,1.5882352941176472,0.12742564391116296,0.04459897536890711,0.05097025756446527,0.06371282195558159,Elite,Playable,Strong,Strong,Tight,Medium Favorite,0.20907379825187766
2024_1_Texans_Colts,2024,1,2024-09-08,Colts,Texans,Texans,0.625,1,0.6735883489927855,0.0582037336081701,-160.0,0.6153846153846154,10,Houston Texans,0.5876288659793815,0.6101364522417154,0.6153846153846154,-142.5,-156.5,-160.0,3862.0,10,1.0727777777777778,True,True,True,0.0852269989955254,0.0645868008610136,0.0579623647679929,-206.3616132923814,0.0206401981345117,0.0066244360930206,0.0272646342275324,8.0,1,2024|1|2024_1_Texans_Colts||,,,,,,,,,,,,,,,,,,,,,2024,1,0.6735883489927855,,-142.5,medium,steam_up,>0.05,confirmed,normal_late_drift,1,,model_prob_fallback,-142.5,-156.5,-160.0,-142.5,0.5876288659793815,0.6735883489927855,0.6735883489927855,0.6177146850340729,0.6220126591847431,0.6306086074860835,-206.3616132923814,-206.3616132923814,-161.58472765011376,-164.55912461067177,-170.71556627089674,0.08595948301340406,0.08595948301340406,0.0634518967510701,0.058203733608170105,0.03008581905469143,0.03438379320536167,0.04297974150670203,1.7017543859649122,0.14628192723333666,0.05119867453166793,0.05851277089333484,0.07314096361666844,Elite,Strong,Strong,Strong,Tight,Light Favorite,0.19734316595318924
2024_1_Commanders_Buccaneers,2024,1,2024-09-08,Buccaneers,Commanders,Buccaneers,0.5128205128205128,1,0.6896394823036165,0.0286225331510741,-195.0,0.6610169491525424,10,Tampa Bay Buccaneers,0.6383363471971067,0.6336996336996337,0.6610169491525424,-176.5,-173.0,-195.0,16162.0,10,4.489444444444445,True,True,True,0.0494630347034765,0.0574251689280139,0.0264592474947639,-222.20593244990988,-0.0079621342245373,0.03096592143325,0.0230037872087126,12.0,1,2024|1|2024_1_Commanders_Buccaneers||,,,,,,,,,,,,,,,,,,,,,2024,1,0.6896394823036165,,-176.5,small,reversal,0.02-0.05,mixed,high_late_drift,1,,model_prob_fallback,-176.5,-173.0,-195.0,-176.5,0.6383363471971067,0.6896394823036165,0.6896394823036165,0.6562924444843852,0.6588576012397107,0.6639879147503616,-222.20593244990988,-222.20593244990988,-190.94501530519,-193.13272218111783,-197.60834324070672,0.051303135106509745,0.051303135106509745,0.05593984860398282,0.028622533151074103,0.017956097287278427,0.020521254042603965,0.025651567553254817,1.56657223796034,0.08037006717818684,0.02812952351236553,0.032148026871274826,0.04018503358909342,Elite,Playable,Playable,Playable,Normal,Medium Favorite,0.18568004587081663
2024_1_Jaguars_Dolphins,2024,1,2024-09-08,Dolphins,Jaguars,Dolphins,0.5586592178770949,1,0.6496055266311193,0.0080284656992196,-179.0,0.6415770609318996,10,Miami Dolphins,0.6268656716417911,0.6363636363636364,0.6415770609318996,-168.0,-175.0,-179.0,3862.0,10,1.0727777777777778,True,True,True,0.0225252999992249,0.0133878920958163,0.0073253087107986,-185.39262916605463,0.0091374079034085,0.0060625833850177,0.0151999912884263,13.0,1,2024|1|2024_1_Jaguars_Dolphins||,,,,,,,,,,,,,,,,,,,,,2024,1,0.6496055266311193,,-168.0,small,steam_up,0-0.02,confirmed,normal_late_drift,1,,model_prob_fallback,-168.0,-175.0,-179.0,-168.0,0.6268656716417911,0.6496055266311193,0.6496055266311193,0.6348246208880559,0.6359616136375223,0.6382355991364552,-185.39262916605466,-185.39262916605466,-173.8410246692593,-174.69630606600023,-176.422997291321,0.02273985498932818,0.02273985498932818,0.013241890267482903,0.008028465699219667,0.007958949246264835,0.009095941995731271,0.011369927494664145,1.5952380952380953,0.036275482959166494,0.012696419035708395,0.014510193183666642,0.018137741479583358,Playable,Thin,Thin,Thin,Block,Medium Favorite,0.16881971934083362
2024_1_Vikings_Giants,2024,1,2024-09-08,Giants,Vikings,Giants,-1.0,0,0.5460257136078486,0.0410752185583436,-102.0,0.504950495049505,10,New York Giants,0.5,0.4878048780487805,0.504950495049505,100.0,105.0,-102.0,3862.0,10,1.0727777777777778,True,True,True,0.0460020398081956,0.0547733861386466,0.0403894762099106,-120.2767931962079,-0.008771346330451,0.014383909928736,0.0056125635982849,10.0,0,2024|1|2024_1_Vikings_Giants||,,,,,,,,,,,,,,,,,,,,,2024,1,0.5460257136078486,,100.0,flat,reversal,0.02-0.05,mixed,normal_late_drift,1,,model_prob_fallback,100.0,105.0,-102.0,100.0,0.5,0.5460257136078486,0.5460257136078486,0.516108999762747,0.5184102854431394,0.5230128568039243,-120.2767931962079,-120.2767931962079,-106.65811091954541,-107.64563066305507,-109.64925664441414,0.04602571360784857,0.04602571360784857,0.058220835559068096,0.04107521855834362,0.016108999762747045,0.018410285443139385,0.023012856803924286,2.0,0.09205142721569715,0.03221799952549409,0.03682057088627877,0.04602571360784857,Strong,Playable,Playable,Playable,Loose,Pickem,0.15198589901039866
2024_1_Patriots_Bengals,2024,1,2024-09-08,Bengals,Patriots,Bengals,-1.0,0,0.6998344446458473,-0.1001655553541527,-400.0,0.8,10,Cincinnati Bengals,0.8067632850241546,0.7959183673469388,0.8,-417.5,-390.0,-400.0,3862.0,10,1.0727777777777778,True,True,True,-0.107696499338852,-0.0961830362400639,-0.101241561978392,-233.1494843970829,-0.011513463098788,0.0050585257383281,-0.0064549373604599,24.0,0,2024|1|2024_1_Patriots_Bengals||,,,,,,,,,,,,,,,,,,,,,2024,1,0.6998344446458473,,-417.5,flat,reversal,<0,mixed,normal_late_drift,0,,model_prob_fallback,-417.5,-390.0,-400.0,-417.5,0.8067632850241546,0.6998344446458473,0.6998344446458473,0.769338190891747,0.7639917488728317,0.753298864835001,-233.1494843970829,-233.1494843970829,-333.5351412815311,-323.71399949960653,-305.3487631223012,-0.1069288403783073,-0.1069288403783073,-0.09608392270109145,-0.10016555535415272,-0.03742509413240758,-0.0427715361513229,-0.05346442018915365,1.2395209580838324,-0.13254053867251248,-0.04638918853537932,-0.053016215469004924,-0.06627026933625624,Negative,Negative,Negative,Negative,Block,Heavy Favorite,0.1341198464476732
