Season,value_tier,bets,wins,roi,hit_rate,avg_true_prob,avg_market_prob,avg_edge_market,avg_edge_open,avg_edge_close,avg_otm_move,avg_mtc_move,avg_ev,avg_hybrid_score
2024,Thin,10,7,0.52568700219629,0.7,0.5128320420959149,0.5049247804863295,0.00790726160958537,0.007318764824654281,0.01868114071730208,-0.006208883873528649,-0.00515349201911911,0.0179797109065716,0.18447632354721746
2024,Elite,105,88,0.3168127163995768,0.8380952380952381,0.7116468662138602,0.6013473261412167,0.11029954007264353,0.09704308260047521,0.08496609809483029,0.006471759336430542,0.005605225169214375,0.512758570345695,0.29933295123359244
2024,Strong,25,17,0.27936681300398203,0.68,0.6096993044510567,0.5688602359594365,0.040839068491620244,0.04195399266094495,0.029517669165309717,0.005425567035424333,0.007010756460210916,0.07953218188855658,0.23342833732717186
2024,Playable,22,13,0.2034077667905218,0.5909090909090909,0.5723689597007147,0.5491850396434517,0.02318392005726301,0.02426583057505909,0.0178668305720836,0.0006512962218702727,0.005747703781105218,0.04564669356815135,0.21154000362365746
2024,None,106,54,-0.12952305299800596,0.5094339622641509,0.511502566725282,,,,,,,,0.1790258983538487
2025,Strong,23,13,-0.1374448824028944,0.5652173913043478,0.6724441141781481,0.6308136313801443,0.04163048279800369,0.043896734180484585,0.029623366538876636,0.011200060983110093,0.0030733066584978526,0.0688422714497012,0.25625190455735114
2025,Playable,14,6,-0.226944517019705,0.42857142857142855,0.5521005867371913,0.5290671483671039,0.02303343837008735,0.009766316117599956,0.0063133275174138,-0.016844586576756516,0.02029757517694267,0.050248462482238514,0.19592179359646092
2024,Negative,257,93,-0.3349837489421905,0.36186770428015563,0.43015601473527953,0.5254309879166372,-0.0952749731813578,-0.08888012878865285,-0.08638014519578512,-0.00018622441033426486,-0.002313759182533464,-0.20303718441635743,0.10137885142569893
2025,Elite,84,35,-0.3478867148930224,0.4166666666666667,0.7138748876592683,0.61846649596587,0.09540839169339833,0.0977507672471524,0.09294601715701868,0.003561524657386906,0.0012432254327468118,0.15955294047565896,0.30201403410281
2025,Negative,233,74,-0.42323776380911254,0.31759656652360513,0.45178835946057977,0.5399554197792478,-0.08816706031866804,-0.08389749365331747,-0.08823550923116731,0.004334705937241908,3.309640607915296e-06,-0.18827087704773493,0.11054679309934251
2025,None,78,24,-0.45684755705328467,0.3076923076923077,0.5255410310224402,,,,,,,,0.18393936085785403
2025,Thin,8,2,-0.553030303030303,0.25,0.5901456279689141,0.5787389381426064,0.011406689826307801,0.013118110607074636,0.017270770202828772,0.009123566528428563,-0.013276226124182675,0.022733501649336407,0.21410477732288702
