edge_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
"[0.09, 0.1)",2,2,1.5757575757575757,0.09649055634360496,0.6583953182483668,0.5619047619047619,-130.0,11.0,1.0,0.7878787878787878
"[0.1, 0.12)",7,4,1.315,0.11276809239624275,0.5896824600587973,0.4769143676625545,81.64285714285714,10.857142857142858,0.5714285714285714,0.18785714285714286
"[0.12, 0.15)",5,1,-3.3243243243243246,0.14056821736720404,0.6739190114756546,0.5333507941084505,-36.6,11.0,0.2,-0.664864864864865
"[0.15, 0.2)",6,3,-0.8553183725597518,0.17280703261304708,0.7347010134511832,0.5618939808381362,-96.0,11.0,0.5,-0.14255306209329197
"[0.2, 1.0)",3,1,-1.1666666666666665,0.23707049562359414,0.7220755852798466,0.4850050896562524,40.0,11.0,0.3333333333333333,-0.38888888888888884
