rule_name,bets,wins,hit_rate,roi,avg_edge_shrunk_40,avg_edge_close,avg_hybrid_score,season_2024_roi,season_2025_roi,season_gap_abs,score
shr40_edge>=0.020_top4,107,74,0.6915887850467289,0.04560299615949691,0.04085889283051499,0.08971525047157258,0.2263822171516211,0.3247522957957144,-0.33900270556151385,0.6637550013572282,-0.2862745045191172
shr40_edge>=0.015_top4,115,80,0.6956521739130435,0.04740263040989051,0.03923789938970285,0.0866677873469944,0.22498655217123936,0.3340707611622779,-0.3387217906035293,0.6727925517658072,-0.2889936454730131
shr40_edge>=0.020_top3,91,64,0.7032967032967034,0.04615224265654855,0.042005187818273816,0.09163009250384409,0.22989817748661004,0.33288630188062696,-0.353766313629666,0.686652615510293,-0.29717406509859795
shr40_edge>=0.005_top4,120,79,0.6583333333333333,-0.01353693997483531,0.03803873422329426,0.08383557134988033,0.22362551460715346,0.2530497817767058,-0.37421309293280264,0.6272628747095084,-0.3271683773295895
shr40_edge>=0.010_top4,120,79,0.6583333333333333,-0.01353693997483531,0.03803873422329426,0.08383557134988033,0.22362551460715346,0.2530497817767058,-0.37421309293280264,0.6272628747095084,-0.3271683773295895
shr40_edge>=0.015_top3,97,67,0.6907216494845361,0.022181475893100284,0.04021858712271828,0.088165072657102,0.228426859627564,0.3340318486828818,-0.3861940122839946,0.7202258609668764,-0.3379314545903379
shr40_edge>=0.005_top3,100,67,0.67,-0.009525635050359398,0.03918240544014339,0.08689159172052947,0.22760236306039655,0.28722371364137717,-0.40289105075801024,0.6901147643993875,-0.35458301725005315
shr40_edge>=0.010_top3,100,67,0.67,-0.009525635050359398,0.03918240544014339,0.08689159172052947,0.22760236306039655,0.28722371364137717,-0.40289105075801024,0.6901147643993875,-0.35458301725005315
shr40_edge>=0.020_top2,67,47,0.7014925373134329,0.030569552703710746,0.04402090011402299,0.09629193454267855,0.23472618751523386,0.365996948602346,-0.4366328915836741,0.8026298401860201,-0.3707453673892993
shr40_edge>=0.015_top2,70,49,0.7,0.027088772392919607,0.042181373142342445,0.09431471509811008,0.23374909653539874,0.3712199101441861,-0.43175274460876906,0.8029726547529552,-0.374397554983558
shr40_edge>=0.005_top2,71,48,0.676056338028169,-0.008874672140412853,0.041662364343118395,0.09367730789108523,0.2335164495416231,0.333062015407344,-0.45008330123429263,0.7831453166416367,-0.4004473304612312
shr40_edge>=0.010_top2,71,48,0.676056338028169,-0.008874672140412853,0.041662364343118395,0.09367730789108523,0.2335164495416231,0.333062015407344,-0.45008330123429263,0.7831453166416367,-0.4004473304612312
