shrink_factor,0.05,0.08,0.09,0.1,0.12
0.5,-0.3275,,,,
0.55,-0.3275,-1.0,,,
0.6,-0.495625,-1.0,-1.0,,
0.65,-0.30729394683940137,-1.0,-1.0,,
0.7,-0.30729394683940137,-0.49125,-1.0,-1.0,
0.75,-0.20592854217854217,-0.495625,-1.0,-1.0,
0.8,-0.06835844373979968,-0.3654804804804805,-0.7092857142857143,-1.0,-1.0
0.85,-0.06835844373979968,-0.3654804804804805,-0.3654804804804805,-1.0,-1.0
0.9,-0.01618216653809877,-0.23802334152334154,-0.3654804804804805,-0.5361655405405406,-1.0
1.0,-0.2026731520900644,-0.14354685549600804,-0.15577879532424987,-0.3654804804804805,-0.7207207207207208
