shrink_factor,0.05,0.08,0.09,0.1,0.12
0.5,0.19506722689075628,1.0675,1.05,,
0.55,0.2816036414565826,0.37833333333333335,1.0675,1.05,
0.6,0.34092656574825053,0.37833333333333335,1.0675,1.0675,
0.65,0.33275413491338884,0.19506722689075628,0.03375,1.0675,1.05
0.7,0.3787709363549723,0.2816036414565826,0.19506722689075628,0.37833333333333324,1.05
0.75,0.3787709363549723,0.34092656574825053,0.34092656574825053,0.03375,1.0675
0.8,0.43394130311135276,0.4186042601322371,0.38164407836305253,0.34092656574825053,0.37833333333333324
0.85,0.4982697208969654,0.2767438341190135,0.4186042601322371,0.38164407836305253,0.46232142857142855
0.9,0.560047387542504,0.33275413491338884,0.2767438341190135,0.4186042601322371,0.34092656574825053
1.0,0.560047387542504,0.43394130311135276,0.365851874278879,0.2767438341190135,0.4186042601322371
