season,shrink_factor,edge_threshold,bets,profit_units,roi,win_rate,avg_raw_model_prob,avg_model_prob,avg_implied_prob,avg_edge,avg_odds
all,0.5,0.05,11,-0.9896638655462187,-0.08996944232238352,0.45454545454545453,0.6537934509480656,0.5768967254740326,0.5091524987859248,0.067744226688108,23.0
all,0.5,0.08,2,2.135,1.0675,1.0,0.6508445572603163,0.5754222786301582,0.48371059250160847,0.09171168612854969,106.75
all,0.5,0.09,1,1.05,1.05,1.0,0.6685876459720748,0.5842938229860374,0.4878048780487805,0.0964889449372569,105.0
all,0.5,0.1,0,0.0,,,,,,,
all,0.5,0.12,0,0.0,,,,,,,
2024,0.5,0.05,5,0.9753361344537814,0.19506722689075628,0.6,0.671311940502296,0.5856559702511479,0.512764489958027,0.07289148029312095,13.9
2024,0.5,0.08,2,2.135,1.0675,1.0,0.6508445572603163,0.5754222786301582,0.48371059250160847,0.09171168612854969,106.75
2024,0.5,0.09,1,1.05,1.05,1.0,0.6685876459720748,0.5842938229860374,0.4878048780487805,0.0964889449372569,105.0
2024,0.5,0.1,0,0.0,,,,,,,
2024,0.5,0.12,0,0.0,,,,,,,
2025,0.5,0.05,6,-1.965,-0.3275,0.3333333333333333,0.6391947096528734,0.5695973548264367,0.5061425061425061,0.06345484868393056,30.583333333333332
2025,0.5,0.08,0,0.0,,,,,,,
2025,0.5,0.09,0,0.0,,,,,,,
2025,0.5,0.1,0,0.0,,,,,,,
2025,0.5,0.12,0,0.0,,,,,,,
all,0.55,0.05,12,-0.27537815126050424,-0.022948179271708686,0.5,0.6612020033538518,0.5886611018446185,0.5153342349982087,0.07332686684640967,9.416666666666666
all,0.55,0.08,5,-0.865,-0.173,0.4,0.6425548701915129,0.5784051786053321,0.4886061882201556,0.08979899038517651,104.7
all,0.55,0.09,2,2.135,1.0675,1.0,0.6508445572603163,0.582964506493174,0.48371059250160847,0.09925391399156552,106.75
all,0.55,0.1,1,1.05,1.05,1.0,0.6685876459720748,0.5927232052846412,0.4878048780487805,0.1049183272358607,105.0
all,0.55,0.12,0,0.0,,,,,,,
2024,0.55,0.05,6,1.6896218487394958,0.2816036414565826,0.6666666666666666,0.6832092970548299,0.6007651133801565,0.5245259638539114,0.07623914952624511,-11.75
2024,0.55,0.08,3,1.135,0.37833333333333335,0.6666666666666666,0.6417810622529257,0.5779795842391092,0.48507535435066584,0.09290422988844338,106.16666666666667
2024,0.55,0.09,2,2.135,1.0675,1.0,0.6508445572603163,0.582964506493174,0.48371059250160847,0.09925391399156552,106.75
2024,0.55,0.1,1,1.05,1.05,1.0,0.6685876459720748,0.5927232052846412,0.4878048780487805,0.1049183272358607,105.0
2024,0.55,0.12,0,0.0,,,,,,,
2025,0.55,0.05,6,-1.965,-0.3275,0.3333333333333333,0.6391947096528734,0.5765570903090803,0.5061425061425061,0.07041458416657424,30.583333333333332
2025,0.55,0.08,2,-2.0,-1.0,0.0,0.6437155820993936,0.5790435701546665,0.49390243902439024,0.08514113113027622,102.5
2025,0.55,0.09,0,0.0,,,,,,,
2025,0.55,0.1,0,0.0,,,,,,,
2025,0.55,0.12,0,0.0,,,,,,,
all,0.6,0.05,15,-1.5785140397622461,-0.10523426931748307,0.4666666666666667,0.673559301527015,0.6041355809162089,0.528048366143875,0.07608721477233402,-20.033333333333335
all,0.6,0.08,5,-0.865,-0.173,0.4,0.6425548701915129,0.5855329221149077,0.4886061882201556,0.09692673389475218,104.7
all,0.6,0.09,4,0.1349999999999998,0.03374999999999995,0.5,0.647280069679855,0.588368041807913,0.4888065157629994,0.09956152604491361,104.625
all,0.6,0.1,2,2.135,1.0675,1.0,0.6508445572603163,0.5905067343561898,0.48371059250160847,0.1067961418545813,106.75
all,0.6,0.12,0,0.0,,,,,,,
2024,0.6,0.05,7,2.3864859602377537,0.34092656574825053,0.7142857142857143,0.6914628398525172,0.6148777039115103,0.5337825950076648,0.0810951089038456,-30.571428571428573
2024,0.6,0.08,3,1.135,0.37833333333333335,0.6666666666666666,0.6417810622529257,0.5850686373517554,0.48507535435066584,0.09999328300108967,106.16666666666667
2024,0.6,0.09,2,2.135,1.0675,1.0,0.6508445572603163,0.5905067343561898,0.48371059250160847,0.1067961418545813,106.75
2024,0.6,0.1,2,2.135,1.0675,1.0,0.6508445572603163,0.5905067343561898,0.48371059250160847,0.1067961418545813,106.75
2024,0.6,0.12,0,0.0,,,,,,,
2025,0.6,0.05,8,-3.965,-0.495625,0.25,0.6578937054922003,0.5947362232953202,0.5230309158880588,0.07170530740726141,-10.8125
2025,0.6,0.08,2,-2.0,-1.0,0.0,0.6437155820993936,0.5862293492596362,0.49390243902439024,0.09232691023524592,102.5
2025,0.6,0.09,2,-2.0,-1.0,0.0,0.6437155820993936,0.5862293492596362,0.49390243902439024,0.09232691023524592,102.5
2025,0.6,0.1,0,0.0,,,,,,,
2025,0.6,0.12,0,0.0,,,,,,,
all,0.65,0.05,22,0.2800620688138613,0.012730094036993695,0.5454545454545454,0.673043578431789,0.6124783259806628,0.537802116568698,0.07467620941196478,-54.34090909090909
all,0.65,0.08,8,-2.0246638655462186,-0.2530829831932773,0.375,0.6683258794174298,0.6094118216213293,0.5121352341616826,0.09727658745964674,19.3125
all,0.65,0.09,6,-1.865,-0.31083333333333335,0.3333333333333333,0.6588739260025231,0.60326805190164,0.501374722067521,0.10189332983411904,65.58333333333333
all,0.65,0.1,2,2.135,1.0675,1.0,0.6508445572603163,0.5980489622192056,0.48371059250160847,0.11433836971759709,106.75
all,0.65,0.12,1,1.05,1.05,1.0,0.6685876459720748,0.6095819698818485,0.4878048780487805,0.12177709183306806,105.0
2024,0.65,0.05,11,3.6602954840472774,0.33275413491338884,0.7272727272727273,0.6896011907105849,0.6232407739618804,0.5461440682562005,0.07709670570567974,-67.54545454545455
2024,0.65,0.08,5,0.9753361344537814,0.19506722689075628,0.6,0.671311940502296,0.6113527613264924,0.512764489958027,0.09858827136846533,13.9
2024,0.65,0.09,4,0.135,0.03375,0.5,0.6664530979540879,0.6081945136701571,0.5051108635890863,0.10308365008107079,47.125
2024,0.65,0.1,2,2.135,1.0675,1.0,0.6508445572603163,0.5980489622192056,0.48371059250160847,0.11433836971759709,106.75
2024,0.65,0.12,1,1.05,1.05,1.0,0.6685876459720748,0.6095819698818485,0.4878048780487805,0.12177709183306806,105.0
2025,0.65,0.05,11,-3.3802334152334153,-0.30729394683940137,0.36363636363636365,0.6564859661529926,0.6017158779994453,0.5294601648811953,0.07225571311824978,-41.13636363636363
2025,0.65,0.08,3,-3.0,-1.0,0.0,0.6633491109426529,0.6061769221127244,0.5110864745011087,0.09509044761161574,28.333333333333332
2025,0.65,0.09,2,-2.0,-1.0,0.0,0.6437155820993936,0.5934151283646059,0.49390243902439024,0.09951268934021557,102.5
2025,0.65,0.1,0,0.0,,,,,,,
2025,0.65,0.12,0,0.0,,,,,,,
all,0.7,0.05,23,1.1650178210262512,0.05065294874027179,0.5652173913043478,0.6705444259961041,0.619381098197273,0.5374853476711409,0.0818957505261321,-56.891304347826086
all,0.7,0.08,10,-0.27537815126050424,-0.027537815126050424,0.5,0.6696376910072152,0.6187463837050506,0.5171815698027287,0.10156481390232204,11.8
all,0.7,0.09,8,-2.0246638655462186,-0.2530829831932773,0.375,0.6683258794174298,0.6178281155922009,0.5121352341616826,0.10569288143051823,19.3125
all,0.7,0.1,5,-0.8650000000000002,-0.17300000000000004,0.4,0.6659178967553988,0.6161425277287791,0.5040886908712691,0.1120538368575101,57.7
all,0.7,0.12,1,1.05,1.05,1.0,0.6685876459720748,0.6180113521804523,0.4878048780487805,0.13020647413167186,105.0
2024,0.7,0.05,12,4.545251236259667,0.3787709363549723,0.75,0.6834313475189564,0.6284019432632695,0.5448417652285907,0.08356017803467874,-71.33333333333333
2024,0.7,0.08,6,1.6896218487394958,0.2816036414565826,0.6666666666666666,0.6832092970548299,0.628246507938381,0.5245259638539114,0.10372054408446958,-11.75
2024,0.7,0.09,5,0.9753361344537814,0.19506722689075628,0.6,0.671311940502296,0.6199183583516072,0.512764489958027,0.10715386839358014,13.9
2024,0.7,0.1,3,1.1349999999999998,0.37833333333333324,0.6666666666666666,0.6807194398594022,0.6265036079015815,0.5108795254358549,0.11562408246572664,27.833333333333332
2024,0.7,0.12,1,1.05,1.05,1.0,0.6685876459720748,0.6180113521804523,0.4878048780487805,0.13020647413167186,105.0
2025,0.7,0.05,11,-3.3802334152334153,-0.30729394683940137,0.36363636363636365,0.6564859661529926,0.6095401763070948,0.5294601648811953,0.08008001142589942,-41.13636363636363
2025,0.7,0.08,4,-1.965,-0.49125,0.25,0.6492802819357929,0.6044961973550551,0.5061649787259543,0.09833121862910073,47.125
2025,0.7,0.09,3,-3.0,-1.0,0.0,0.6633491109426529,0.614344377659857,0.5110864745011087,0.10325790315874839,28.333333333333332
2025,0.7,0.1,2,-2.0,-1.0,0.0,0.6437155820993936,0.6006009074695755,0.49390243902439024,0.10669846844518527,102.5
2025,0.7,0.12,0,0.0,,,,,,,
all,0.75,0.05,24,2.0741087301171603,0.08642119708821501,0.5833333333333334,0.6676299340924478,0.6257224505693358,0.5369155216769067,0.08880692889242904,-59.104166666666664
all,0.75,0.08,15,-1.5785140397622461,-0.10523426931748307,0.4666666666666667,0.673559301527015,0.6301694761452611,0.528048366143875,0.10212111000138625,-20.033333333333335
all,0.75,0.09,10,-0.6135140397622463,-0.06135140397622463,0.5,0.683028721179558,0.6372715408846685,0.5269737588556979,0.11029778202897053,-12.9
all,0.75,0.1,7,-2.865,-0.4092857142857143,0.2857142857142857,0.6651228178063301,0.6238421133547475,0.5076718396942387,0.11617027366050879,39.07142857142857
all,0.75,0.12,2,2.135,1.0675,1.0,0.6508445572603163,0.6131334179452372,0.48371059250160847,0.12942282544362876,106.75
2024,0.75,0.05,12,4.545251236259667,0.3787709363549723,0.75,0.6834313475189564,0.6375735106392173,0.5448417652285907,0.0927317454106266,-71.33333333333333
2024,0.75,0.08,7,2.3864859602377537,0.34092656574825053,0.7142857142857143,0.6914628398525172,0.6435971298893879,0.5337825950076648,0.10981453488172319,-30.571428571428573
2024,0.75,0.09,7,2.3864859602377537,0.34092656574825053,0.7142857142857143,0.6914628398525172,0.6435971298893879,0.5337825950076648,0.10981453488172319,-30.571428571428573
2024,0.75,0.1,4,0.135,0.03375,0.5,0.6664530979540879,0.6248398234655659,0.5051108635890863,0.11972895987647961,47.125
2024,0.75,0.12,2,2.135,1.0675,1.0,0.6508445572603163,0.6131334179452372,0.48371059250160847,0.12942282544362876,106.75
2025,0.75,0.05,12,-2.471142506142506,-0.20592854217854217,0.4166666666666667,0.651828520665939,0.6138713904994543,0.5289892781252227,0.08488211237423149,-46.875
2025,0.75,0.08,8,-3.965,-0.495625,0.25,0.6578937054922003,0.6184202791191502,0.5230309158880588,0.09538936323109146,-10.8125
2025,0.75,0.09,3,-3.0,-1.0,0.0,0.6633491109426529,0.6225118332069896,0.5110864745011087,0.11142535870588104,28.333333333333332
2025,0.75,0.1,3,-3.0,-1.0,0.0,0.6633491109426529,0.6225118332069896,0.5110864745011087,0.11142535870588104,28.333333333333332
2025,0.75,0.12,0,0.0,,,,,,,
all,0.8,0.05,28,5.118160031201742,0.1827914296857765,0.6428571428571429,0.6659364734037093,0.6327491787229675,0.5414596982571787,0.09128948046578889,-69.58928571428571
all,0.8,0.08,18,0.47811401686581023,0.026561889825878347,0.5555555555555556,0.6824176647515271,0.6459341318012216,0.5389351677244357,0.10699896407678582,-41.02777777777778
all,0.8,0.09,15,-1.91184737309558,-0.12745649153970534,0.4666666666666667,0.6822148996860388,0.645771919748831,0.5347150328105417,0.11105688693828937,-36.7
all,0.8,0.1,10,-0.6135140397622463,-0.06135140397622463,0.5,0.683028721179558,0.6464229769436464,0.5269737588556979,0.11944921808794842,-12.9
all,0.8,0.12,4,0.1349999999999998,0.03374999999999995,0.5,0.673978733223923,0.6391829865791384,0.5081596440768912,0.1310233425022472,45.875
2024,0.8,0.05,14,6.0751782435589385,0.43394130311135276,0.7857142857142857,0.6790934525986785,0.6432747620789429,0.5479797007163286,0.09529506136261408,-79.85714285714286
2024,0.8,0.08,9,3.767438341190134,0.4186042601322371,0.7777777777777778,0.6989217903878655,0.6591374323102924,0.5466457220429985,0.11249171026729392,-56.0
2024,0.8,0.09,8,3.0531526269044202,0.38164407836305253,0.75,0.6974902328147321,0.6579921862517857,0.5420597706317067,0.11593241562007908,-45.5
