edge_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
"[0.09, 0.1)",2,2,1.5757575757575757,0.09649055634360496,0.6583953182483668,0.5619047619047619,-130.0,11.0,1.0,0.7878787878787878
"[0.1, 0.12)",3,2,1.035,0.11384177057919027,0.6150403083630939,0.5011985377839037,32.833333333333336,10.666666666666666,0.6666666666666666,0.345
"[0.12, 0.15)",4,1,-2.3243243243243246,0.13993919578853908,0.6979320362501893,0.5579928404616502,-78.25,11.0,0.25,-0.5810810810810811
"[0.15, 0.2)",6,3,-0.8553183725597518,0.17280703261304708,0.7347010134511832,0.5618939808381362,-96.0,11.0,0.5,-0.14255306209329197
"[0.2, 1.0)",1,1,0.8333333333333334,0.2053969551641951,0.7508515006187405,0.5454545454545454,-120.0,11.0,1.0,0.8333333333333334
