odds_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
-300 to -200,7,3,-2.8327962764052987,0.12684270279996174,0.8332942969656089,0.7064515941656471,-242.0,11.0,0.42857142857142855,-0.4046851823436141
-200 to -150,24,13,-3.6324290151939844,0.13085055083291583,0.7673374765666994,0.6364869257337835,-176.0,11.0,0.5416666666666666,-0.15135120896641602
-150 to -110,10,6,0.3203573031159238,0.1598041975414196,0.7359026889695379,0.5760984914281183,-136.4,11.0,0.6,0.03203573031159238
-110 to +110,6,3,-0.05590909090909091,0.12307673050120306,0.6256117330362057,0.5025350025350025,32.25,10.833333333333334,0.5,-0.009318181818181817
+110 to +150,7,2,-2.7199999999999998,0.15667859577493995,0.6108426375600878,0.4541640417851478,120.42857142857143,11.0,0.2857142857142857,-0.3885714285714285
+150 to +200,1,0,-1.0,0.1820413654620862,0.5551756938202952,0.373134328358209,168.0,11.0,0.0,-1.0
