edge_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
"[0.09, 0.1)",5,4,1.5910906513921588,0.09627530057447302,0.7264707235389049,0.6301954229644318,-177.6,11.0,0.8,0.31821813027843177
"[0.1, 0.12)",15,8,-0.8996437522377372,0.1117733299615843,0.6917684512987817,0.5799951213371973,-72.36666666666666,10.933333333333334,0.5333333333333333,-0.05997625014918248
"[0.12, 0.15)",19,8,-6.029768499150765,0.13456611812555,0.7457668498541604,0.6112007317286102,-141.89473684210526,11.0,0.42105263157894735,-0.3173562367974087
"[0.15, 0.2)",12,6,-2.4157888127294402,0.16774507170302488,0.7517409309521367,0.5839958592491118,-113.58333333333333,11.0,0.5,-0.20131573439412
"[0.2, 1.0)",4,1,-2.1666666666666665,0.22898311919497844,0.7483973137956583,0.5194141946006798,-11.25,11.0,0.25,-0.5416666666666666
