favorite_or_dog,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
favorite,43,23,-6.2357770793924505,0.1358062069111981,0.7641279961393903,0.6283217892281922,-174.34883720930233,11.0,0.5348837209302325,-0.14501807161377792
underdog,12,4,-3.685,0.15032826139302277,0.6112855939183158,0.460957332525293,118.29166666666667,10.916666666666666,0.3333333333333333,-0.3070833333333333
