Season,Week,bets,hit_rate,roi,avg_edge_market,avg_edge_close,avg_ev
2024,1,9,0.8888888888888888,0.33760178926458784,0.07876990071280537,0.06881015677254282,0.12147796868900006
2024,2,8,0.875,0.5187939235350829,0.0708070937641061,0.09420671716155905,0.11086901186384394
2024,3,8,0.875,0.6948041119076065,0.08455238204748351,0.1018585245656351,0.15216586517598915
2024,4,6,0.8333333333333334,0.3429997827979621,0.06705615191678696,0.05781290773786665,0.10582643480873873
2024,5,10,0.7,0.36327922635663235,0.05663097835893678,0.05153832506286439,0.10036459171953178
2024,6,7,0.8571428571428571,0.3478356390069071,0.09546492666300845,0.07953946265422955,0.15417107017687987
2024,7,6,0.8333333333333334,0.3405313783641912,0.06563578550131145,0.040329740043985506,0.10109020282494384
2024,8,9,0.6666666666666666,0.3174950973982134,0.10317027821444597,0.05184323504320749,2.1419753072473235
2024,9,8,0.75,0.15912107235636647,0.05970757622190519,0.05509081152211221,0.09669691982504856
2024,10,7,0.8571428571428571,0.5519781764289707,0.07883588736435695,0.05842172697803053,0.14209947070781828
2024,11,8,0.75,0.28130288619408667,0.09786441710672578,0.0900428273607441,0.17254326619997698
2024,12,6,0.8333333333333334,0.2708597728808531,0.0715666862412368,0.036107195709240585,0.13372225816836156
2024,13,7,0.7142857142857143,0.07642799593634164,0.1276982866992812,0.06243840610918761,1.085876503862034
2024,14,4,0.5,-0.30512144605535685,0.10824925904245615,0.08769555369368764,0.16622657390297588
2024,15,9,0.8888888888888888,0.3716116542494949,0.07985237628715414,0.05482502156411409,0.12385491503145873
2024,16,9,0.6666666666666666,0.044272796004757545,0.09382858594678482,0.03592465109454454,0.21611794862271766
2024,17,9,0.8888888888888888,0.4234672131540187,0.10607061139101896,0.09044321420530904,0.20350196271861495
2024,18,9,0.6666666666666666,-0.04406152228742412,0.10351835401152149,0.04742376042691061,0.18034413666195123
2024,19,3,0.3333333333333333,-0.5384615384615384,0.09664230979038124,0.10039425818053827,0.14836432864391688
2024,20,1,1.0,0.3149606299212598,0.0316207290522845,-0.0066517793865846,0.0435530796380523
2024,21,2,1.0,0.5600539811066128,0.07495595866707949,0.06013757635727705,0.12031387500390031
2024,22,1,1.0,0.9803921568627452,0.058921628527821,0.048408388994298,0.1219677710525897
2025,1,8,0.875,0.4261756139548891,0.06555675882563514,0.061940173109398484,0.10819046702482293
2025,2,9,0.6666666666666666,0.0584987721829827,0.08881756848661883,0.07707569123812331,0.13902228888894358
2025,3,10,0.7,0.1119648944953823,0.06559842164469314,0.0536369644736683,0.10738930751254919
2025,4,6,0.6666666666666666,0.10454992793338656,0.11825015722746575,0.10663004000991495,0.18775869277081003
2025,5,8,0.5,-0.18130986127217283,0.07794324824910884,0.07828876975624162,0.1276559752791139
2025,6,7,0.42857142857142855,-0.41465878355210356,0.0758890407328847,0.05622864395287074,0.12601026299841503
2025,7,6,0.5,-0.2149270482603816,0.0908723399304285,0.09439812996333018,0.1549974327287884
2025,8,2,1.0,0.585357624831309,0.03520865673306265,-0.003941358844603549,0.0587401926068439
2025,9,7,0.5714285714285714,-0.012556549713481413,0.10058091049627292,0.10637952008456367,0.17020995682279091
2025,10,7,0.8571428571428571,0.2847900792304232,0.07508749282480952,0.049212445140120686,0.11492305530474398
2025,11,9,0.4444444444444444,-0.34924613120101844,0.06289524224133868,0.03857618887391881,0.10088140751834536
2025,12,3,0.0,-1.0,0.0698180126991524,0.06479055803627763,0.11078767754048825
2025,13,6,0.0,-1.0,0.061385144111819445,0.0566019076921589,0.1034337562363652
2025,14,5,0.0,-1.0,0.08161551737205767,0.07398688445614213,0.1263132205093242
2025,15,6,0.0,-1.0,0.07117535448261901,0.059789863676448916,0.11642521750645461
2025,16,6,0.0,-1.0,0.09405239437726243,0.09922591033155848,0.24301346111787772
2025,17,6,0.0,-1.0,0.05988193070558968,0.0332617570230379,0.0925173379761743
