Season,side_type,bets,wins,hit_rate,roi,avg_market_prob
2024,Favorite,249,165,0.6626506024096386,-0.005085374133721749,0.6621150397649038
2024,Underdog,276,107,0.38768115942028986,-0.1759879076022659,0.38037301655263306
2025,Favorite,216,97,0.44907407407407407,-0.335218359728279,0.6816593324290998
2025,Underdog,224,57,0.2544642857142857,-0.45458269966593706,0.3908763545824376
