Season,uncertainty_bucket,bets,wins,hit_rate,roi
2024,Low,119,65,0.5462184873949579,-0.0008457784131643656
2024,Medium,40,22,0.55,0.17289284746473216
2024,High,141,70,0.49645390070921985,-0.08957240290185861
2024,Extreme,225,115,0.5111111111111111,-0.19566345829236786
2025,Low,87,29,0.3333333333333333,-0.4031987672015473
2025,Medium,40,12,0.3,-0.4697398431483366
2025,High,98,38,0.3877551020408163,-0.22216720676533094
2025,Extreme,215,75,0.3488372093023256,-0.45857403577212863
