game_id,Season,Week,game_date,home_team,away_team,selected_team,selected_team_full,opponent_team,model_prob,p_home_win,p_away_win,true_moneyline,closing_odds,implied_prob,close_prob,edge,actual_win,profit,home_score,away_score,pred_home_margin,pred_total,away_close_price,home_close_price,away_close_prob,home_close_prob,market_prob,model_edge_vs_close,edge_prob_governed,hybrid_score,confidence_score,open_to_mid_prob_move,mid_to_close_prob_move,close_minus_governed_gap,close_to_governed_ratio,clv,beat_close,market_prob_bucket,bet_band
2020_3_Rams_Bills,2020,3,2020-09-27,Buffalo Bills,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,Buffalo Bills,0.5090908796227896,0.4909091203772105,0.5090908796227896,-103.70369147584968,115.0,0.4651162790697674,0.4651162790697674,0.0439746005530222,0,-1.0,35.0,32.0,-0.4984151509240779,46.21701916746613,115.0,-135.0,0.4651162790697674,0.574468085106383,0.4651162790697674,0.0439746005530222,0.0439746005530222,0.0439746005530222,0.0439746005530222,0.0,0.0,0.0,1.0,0.0439746005530222,1,0.40-0.50,Balanced
2020_6_Packers_Buccaneers,2020,6,2020-10-18,Tampa Bay Buccaneers,Green Bay Packers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Green Bay Packers,0.5267023565251093,0.5267023565251093,0.4732976434748905,-111.28353664686097,112.0,0.4716981132075472,0.4716981132075472,0.0550042433175621,1,1.12,38.0,10.0,0.7200800700532621,46.013870548723126,-130.0,112.0,0.5652173913043478,0.4716981132075472,0.4716981132075472,0.0550042433175621,0.0550042433175621,0.055004243317562096,0.055004243317562096,0.0,0.0,0.0,1.0,0.0550042433175621,1,0.40-0.50,Balanced
2020_9_Raiders_Chargers,2020,9,2020-11-08,Los Angeles Chargers,Las Vegas Raiders,Los Angeles Chargers,Los Angeles Chargers,Las Vegas Raiders,0.5634053573850359,0.5634053573850359,0.436594642614964,-129.04541247014504,-120.0,0.5454545454545454,0.5454545454545454,0.0179508119304905,0,-1.0,26.0,31.0,2.7616219605169765,45.61972842281013,100.0,-120.0,0.5,0.5454545454545454,0.5454545454545454,0.0179508119304905,0.0179508119304905,0.0179508119304905,0.0179508119304905,0.0,0.0,0.0,1.0,0.0179508119304905,1,0.50-0.60,Balanced
2020_10_Bills_Cardinals,2020,10,2020-11-15,Arizona Cardinals,Buffalo Bills,Buffalo Bills,Buffalo Bills,Arizona Cardinals,0.5159479049641192,0.4840520950358807,0.5159479049641192,-106.58933413476376,110.0,0.4761904761904761,0.4761904761904761,0.039757428773643,0,-1.0,32.0,30.0,-1.4606581565754886,45.9029308527201,110.0,-130.0,0.4761904761904761,0.5652173913043478,0.4761904761904761,0.039757428773643,0.039757428773643,0.039757428773643,0.039757428773642994,0.0,0.0,0.0,1.0,0.039757428773643,1,0.40-0.50,Balanced
2020_10_Seahawks_Rams,2020,10,2020-11-15,Los Angeles Rams,Seattle Seahawks,Los Angeles Rams,Los Angeles Rams,Seattle Seahawks,0.6013134986357864,0.6013134986357864,0.3986865013642138,-150.8236412765995,-130.0,0.5652173913043478,0.5652173913043478,0.0360961073314386,1,0.7692307692307693,23.0,16.0,4.321495719948246,45.32035914844745,110.0,-130.0,0.4761904761904761,0.5652173913043478,0.5652173913043478,0.0360961073314386,0.0360961073314386,0.0360961073314386,0.0360961073314386,0.0,0.0,0.0,1.0,0.0360961073314386,1,0.50-0.60,Balanced
2020_11_Lions_Panthers,2020,11,2020-11-22,Carolina Panthers,Detroit Lions,Carolina Panthers,Carolina Panthers,Detroit Lions,0.583726992535862,0.583726992535862,0.4162730074641377,-140.22696213041155,-124.5,0.5545657015590201,0.5545657015590201,0.0291612909768419,1,0.8032128514056225,20.0,0.0,3.1010551528947765,46.65834996963861,108.0,-124.5,0.4807692307692308,0.5545657015590201,0.5545657015590201,0.0291612909768419,0.0291612909768419,0.0291612909768419,0.0291612909768419,0.0,0.0,0.0,1.0,0.0291612909768419,1,0.50-0.60,Balanced
2020_13_Patriots_Chargers,2020,13,2020-12-06,Los Angeles Chargers,New England Patriots,New England Patriots,New England Patriots,Los Angeles Chargers,0.553947976493503,0.4460520235064971,0.553947976493503,-124.1890961818346,-110.0,0.5238095238095238,0.5238095238095238,0.0301384526839791,1,0.9090909090909092,0.0,45.0,-8.488994469519199,47.05753637619771,-110.0,-106.0,0.5238095238095238,0.5145631067961165,0.5238095238095238,0.0301384526839791,0.0301384526839791,0.0301384526839791,0.0301384526839791,0.0,0.0,0.0,1.0,0.0301384526839791,1,0.50-0.60,Balanced
2020_14_Texans_Bears,2020,14,2020-12-13,Chicago Bears,Houston Texans,Chicago Bears,Chicago Bears,Houston Texans,0.5164206600442386,0.5164206600442386,0.4835793399557614,-106.79129925018748,105.0,0.4878048780487805,0.4878048780487805,0.0286157819954581,1,1.05,36.0,7.0,-0.5601863892741428,44.74152241281779,-125.0,105.0,0.5555555555555556,0.4878048780487805,0.4878048780487805,0.0286157819954581,0.0286157819954581,0.0286157819954581,0.028615781995458098,0.0,0.0,0.0,1.0,0.0286157819954581,1,0.40-0.50,Balanced
2020_17_Cardinals_Rams,2020,17,2021-01-03,Los Angeles Rams,Arizona Cardinals,Los Angeles Rams,Los Angeles Rams,Arizona Cardinals,0.5789876855487143,0.5789876855487143,0.4210123144512858,-137.52274355758956,-118.0,0.5412844036697247,0.5412844036697247,0.0377032818789895,1,0.847457627118644,18.0,7.0,3.781969032715193,44.86491113946269,-104.0,-118.0,0.5098039215686274,0.5412844036697247,0.5412844036697247,0.0377032818789895,0.0377032818789895,0.0377032818789895,0.0377032818789895,0.0,0.0,0.0,1.0,0.0377032818789895,1,0.50-0.60,Balanced
2021_3_Buccaneers_Rams,2021,3,2021-09-26,Los Angeles Rams,Tampa Bay Buccaneers,Los Angeles Rams,Los Angeles Rams,Tampa Bay Buccaneers,0.5655231101157899,0.5655231101157899,0.4344768898842098,-130.16183904890872,-110.0,0.5238095238095238,0.5238095238095238,0.041713586306266,1,0.9090909090909092,34.0,24.0,4.167135359360462,46.30210097580276,-109.0,-110.0,0.5215311004784688,0.5238095238095238,0.5238095238095238,0.041713586306266,0.041713586306266,0.041713586306266,0.041713586306266,0.0,0.0,0.0,1.0,0.041713586306266,1,0.50-0.60,Balanced
2021_4_Colts_Dolphins,2021,4,2021-10-03,Miami Dolphins,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts,Miami Dolphins,0.5351241896362879,0.4648758103637123,0.5351241896362879,-115.11121415795212,110.0,0.4761904761904761,0.4761904761904761,0.0589337134458117,1,1.1,17.0,27.0,-2.5699224120287245,45.805298212180304,110.0,-132.0,0.4761904761904761,0.5689655172413793,0.4761904761904761,0.0589337134458117,0.0589337134458117,0.0589337134458117,0.05893371344581169,0.0,0.0,0.0,1.0,0.0589337134458117,1,0.40-0.50,Balanced
2021_4_Browns_Vikings,2021,4,2021-10-03,Minnesota Vikings,Cleveland Browns,Minnesota Vikings,Minnesota Vikings,Cleveland Browns,0.5327018801895519,0.5327018801895519,0.4672981198104479,-113.9961531207602,110.0,0.4761904761904761,0.4761904761904761,0.0565114039990757,0,-1.0,7.0,14.0,3.7154434244063146,44.43347817748639,-130.0,110.0,0.5652173913043478,0.4761904761904761,0.4761904761904761,0.0565114039990757,0.0565114039990757,0.0565114039990757,0.0565114039990757,0.0,0.0,0.0,1.0,0.0565114039990757,1,0.40-0.50,Balanced
2021_5_Browns_Chargers,2021,5,2021-10-10,Los Angeles Chargers,Cleveland Browns,Los Angeles Chargers,Los Angeles Chargers,Cleveland Browns,0.5524380470574899,0.5524380470574899,0.4475619529425096,-123.4327545997752,-110.0,0.5238095238095238,0.5238095238095238,0.028628523247966,1,0.9090909090909092,47.0,42.0,2.5178877522923218,46.28093572480187,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.028628523247966,0.028628523247966,0.028628523247966,0.028628523247965998,0.0,0.0,0.0,1.0,0.028628523247966,1,0.50-0.60,Balanced
2021_5_Broncos_Steelers,2021,5,2021-10-10,Pittsburgh Steelers,Denver Broncos,Pittsburgh Steelers,Pittsburgh Steelers,Denver Broncos,0.5710897550706079,0.5710897550706079,0.4289102449293918,-133.14901236845523,-120.0,0.5454545454545454,0.5454545454545454,0.0256352096160624,1,0.8333333333333334,27.0,19.0,3.482439151524366,45.23225618269278,102.5,-120.0,0.4938271604938271,0.5454545454545454,0.5454545454545454,0.0256352096160624,0.0256352096160624,0.0256352096160624,0.025635209616062398,0.0,0.0,0.0,1.0,0.0256352096160624,1,0.50-0.60,Balanced
2021_16_Jaguars_Jets,2021,16,2021-12-26,New York Jets,Jacksonville Jaguars,Jacksonville Jaguars,Jacksonville Jaguars,New York Jets,0.5012679004389117,0.4987320995610883,0.5012679004389117,-100.50844950225884,115.0,0.4651162790697674,0.4651162790697674,0.0361516213691442,0,-1.0,26.0,21.0,-1.6824179109681243,45.25187941757362,115.0,-135.0,0.4651162790697674,0.574468085106383,0.4651162790697674,0.0361516213691442,0.0361516213691442,0.0361516213691442,0.036151621369144196,0.0,0.0,0.0,1.0,0.0361516213691442,1,0.40-0.50,Balanced
2021_20_Bills_Chiefs,2021,20,2022-01-23,Kansas City Chiefs,Buffalo Bills,Kansas City Chiefs,Kansas City Chiefs,Buffalo Bills,0.6198794396000128,0.6198794396000128,0.3801205603999875,-163.0744306353058,-133.0,0.5708154506437768,0.5708154506437768,0.0490639889562359,1,0.7518796992481203,42.0,36.0,4.69997751860438,47.2301661109468,114.5,-133.0,0.4662004662004662,0.5708154506437768,0.5708154506437768,0.0490639889562359,0.0490639889562359,0.0490639889562359,0.0490639889562359,0.0,0.0,0.0,1.0,0.0490639889562359,1,0.50-0.60,Balanced
2022_9_Seahawks_Cardinals,2022,9,2022-11-06,Arizona Cardinals,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks,Arizona Cardinals,0.5279776085231027,0.4720223914768973,0.5279776085231027,-111.85435650015008,107.5,0.4819277108433735,0.4819277108433735,0.0460498976797292,1,1.075,21.0,31.0,-2.562017515668924,44.22070720799285,107.5,-127.0,0.4819277108433735,0.5594713656387665,0.4819277108433735,0.0460498976797292,0.0460498976797292,0.0460498976797292,0.0460498976797292,0.0,0.0,0.0,1.0,0.0460498976797292,1,0.40-0.50,Balanced
2022_11_Cowboys_Vikings,2022,11,2022-11-20,Minnesota Vikings,Dallas Cowboys,Minnesota Vikings,Minnesota Vikings,Dallas Cowboys,0.5504231436243973,0.5504231436243973,0.4495768563756025,-122.43137871059396,100.0,0.5,0.5,0.0504231436243972,0,-1.0,3.0,40.0,2.302606197106893,46.01512677811042,-120.0,100.0,0.5454545454545454,0.5,0.5,0.0504231436243972,0.0504231436243972,0.0504231436243972,0.05042314362439719,0.0,0.0,0.0,1.0,0.0504231436243972,1,0.40-0.50,Balanced
2022_13_Steelers_Falcons,2022,13,2022-12-04,Atlanta Falcons,Pittsburgh Steelers,Atlanta Falcons,Atlanta Falcons,Pittsburgh Steelers,0.5732572093648067,0.5732572093648067,0.426742790635193,-134.33319131449915,-110.0,0.5238095238095238,0.5238095238095238,0.0494476855552828,0,-1.0,16.0,19.0,3.676413122995933,46.46859955396473,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0494476855552828,0.0494476855552828,0.0494476855552828,0.0494476855552828,0.0,0.0,0.0,1.0,0.0494476855552828,1,0.50-0.60,Balanced
2022_14_Vikings_Lions,2022,14,2022-12-11,Detroit Lions,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,Detroit Lions,0.5241839770414634,0.4758160229585368,0.5241839770414634,-110.16526383079405,110.0,0.4761904761904761,0.4761904761904761,0.0479935008509871,0,-1.0,34.0,23.0,-1.906251504550441,45.51250715256922,110.0,-130.0,0.4761904761904761,0.5652173913043478,0.4761904761904761,0.0479935008509871,0.0479935008509871,0.0479935008509871,0.047993500850987095,0.0,0.0,0.0,1.0,0.0479935008509871,1,0.40-0.50,Balanced
