Season,close_edge_zone,bets,wins,hit_rate,roi,avg_edge_shr40,avg_close_edge
2024,<0,93,56,0.6021505376344086,-0.22414957017635384,-0.018303461595469802,-0.06428269895418272
2024,0-0.01,11,7,0.6363636363636364,-0.04011187016001172,0.011733797045335543,0.004954232562146609
2024,0.01-0.02,7,6,0.8571428571428571,0.4020415966054495,0.022740653694704658,0.015980390974107927
2024,0.02-0.04,16,13,0.8125,0.38670538414227473,-0.00911068600501496,0.03291795927213227
2024,>0.04,102,80,0.7843137254901961,0.2627831632801823,0.03694984451498906,0.10186316805438275
2024,,56,31,0.5535714285714286,-0.10183918958631352,,
2025,<0,80,38,0.475,-0.37105974478370285,-0.023524755209499305,-0.07142316042459694
2025,0-0.01,9,3,0.3333333333333333,-0.4462118258609487,0.013311689275631956,0.0051859770473997
2025,0.01-0.02,10,7,0.7,0.005039984724346258,0.011215612336723437,0.01519372514506323
2025,0.02-0.04,11,6,0.5454545454545454,-0.11453054729370518,0.01613953284987832,0.027706420086693863
2025,>0.04,96,41,0.4270833333333333,-0.31415693606253736,0.031837672804342576,0.09504085702073199
2025,,43,13,0.3023255813953488,-0.5203628637921249,,
