prob_bucket,bets,predicted,actual
0.40-0.50,97,0.4368664582450758,0.44329896907216493
0.50-0.60,97,0.5633002545424254,0.422680412371134
0.60-0.70,111,0.6514750590993429,0.5405405405405406
0.70-0.80,287,0.7508970903033139,0.6515679442508711
0.80-0.90,37,0.8230932421696746,0.7837837837837838
