Season,favorite_trap_flag,bets,wins,hit_rate,roi,avg_prob,avg_market_prob,avg_edge
2024,0,90,54,0.6,0.026524611353164227,0.5859885641904872,0.5716526183784046,0.014335945812082553
2024,1,139,108,0.7769784172661871,0.08727413206580804,0.7340045069179609,0.7273936259370678,0.006610880980893146
2025,0,78,34,0.4358974358974359,-0.25300947726989886,0.5914184988572431,0.5756581266431405,0.01576037221410245
2025,1,128,61,0.4765625,-0.3541753814326839,0.7502424561958123,0.7474719614461753,0.002770494749636999
