odds_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
<=-300,0,0,0.0,,,,,,,
-300 to -200,25,21,4.991310743274499,0.1158658698018102,0.8159455936336024,0.7000797238317922,-234.94,10.28,0.84,0.19965242973097996
-200 to -150,51,39,10.473325343248849,0.12831019087831547,0.7630397682166896,0.6347295773383741,-174.54901960784315,10.470588235294118,0.7647058823529411,0.20535932045585978
-150 to -110,22,16,5.65787055984376,0.15131820218257908,0.7268842005161272,0.575565998333548,-136.13636363636363,10.318181818181818,0.7272727272727273,0.2571759345383527
-110 to +110,9,5,1.079090909090909,0.1342863896348887,0.631001509441779,0.49671511980689026,56.888888888888886,10.555555555555555,0.5555555555555556,0.1198989898989899
+110 to +150,13,7,2.325,0.1733067626133993,0.6258700069882888,0.4525632443748894,121.11538461538461,10.538461538461538,0.5384615384615384,0.17884615384615385
+150 to +200,3,0,-3.0,0.15046900044846168,0.521416968328246,0.3709479678797844,170.0,10.333333333333334,0.0,-1.0
+200 to +300,0,0,0.0,,,,,,,
>=+300,0,0,0.0,,,,,,,
