books_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
<=3,0,0,0.0,,,,,,,
4-5,0,0,0.0,,,,,,,
6-8,1,1,0.8928571428571429,0.0975599360126737,0.6258618228051266,0.5283018867924528,-112.0,7.0,1.0,0.8928571428571429
9-12,122,87,20.633740412600872,0.13594163453997526,0.7381871572889296,0.6022455227489543,-123.45901639344262,10.442622950819672,0.7131147540983607,0.16912901977541697
13+,0,0,0.0,,,,,,,
