Season,edge_bucket,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
2024,"[0.1, 0.12)",21,20,10.676595280671014,0.1101477003159401,0.7474450630260917,0.6372973627101516,-164.47619047619048,10.0,0.9523809523809523,0.5084092990795721
2024,"[0.12, 0.15)",17,16,8.919819760033395,0.1342451090421221,0.7512463580047245,0.6170012489626024,-146.61764705882354,10.0,0.9411764705882353,0.5246952800019644
2024,"[0.15, 0.2)",15,12,5.455477925710602,0.16608453937854906,0.732817852569417,0.566733313190868,-82.46666666666667,10.0,0.8,0.36369852838070676
2024,"[0.2, 1.0)",3,3,2.9942296072507553,0.2767893754379535,0.7882955837168574,0.5115062082789038,24.5,10.0,1.0,0.9980765357502518
2024,,12,10,3.4012520611847004,0.09349404488741268,0.7222562584767411,0.6287622135893285,-165.54166666666666,9.75,0.8333333333333334,0.2834376717653917
2025,"[0.1, 0.12)",15,8,-0.8996437522377372,0.1117733299615843,0.6917684512987817,0.5799951213371973,-72.36666666666666,10.933333333333334,0.5333333333333333,-0.05997625014918248
2025,"[0.12, 0.15)",19,8,-6.029768499150765,0.13456611812555,0.7457668498541604,0.6112007317286102,-141.89473684210526,11.0,0.42105263157894735,-0.3173562367974087
2025,"[0.15, 0.2)",12,6,-2.4157888127294402,0.16774507170302488,0.7517409309521367,0.5839958592491118,-113.58333333333333,11.0,0.5,-0.20131573439412
2025,"[0.2, 1.0)",4,1,-2.1666666666666665,0.22898311919497844,0.7483973137956583,0.5194141946006798,-11.25,11.0,0.25,-0.5416666666666666
2025,,5,4,1.5910906513921588,0.09627530057447302,0.7264707235389049,0.6301954229644318,-177.6,11.0,0.8,0.31821813027843177
