Season,side,bets,wins,profit_units,avg_edge,avg_model_prob,avg_implied_prob,avg_odds,avg_books,win_rate,roi
2024,away,31,28,14.857990923286815,0.12957589626811336,0.7342432116614446,0.6046673153933312,-143.70967741935485,10.0,0.9032258064516129,0.47929002978344565
2024,home,37,33,16.589383711563652,0.13572920355892842,0.7494655267442211,0.6137363231852927,-125.44594594594595,9.91891891891892,0.8918918918918919,0.44836172193415275
2025,away,26,13,-4.78568921201135,0.13808862468891883,0.7395089900169229,0.601420365328004,-139.46153846153845,11.0,0.5,-0.18406496969274425
2025,home,29,14,-5.135087867381101,0.1397690273098587,0.7229550765715027,0.5831860492616439,-84.53448275862068,10.96551724137931,0.4827586206896552,-0.1770719954269345
